Created as New Dataset,Sample 001 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,100.45
4199.00,100.44
4198.00,100.44
4197.00,100.43
4196.00,100.43
4195.00,100.44
4194.00,100.44
4193.00,100.45
4192.00,100.45
4191.00,100.45
4190.00,100.44
4189.00,100.43
4188.00,100.43
4187.00,100.43
4186.00,100.43
4185.00,100.44
4184.00,100.44
4183.00,100.44
4182.00,100.44
4181.00,100.44
4180.00,100.44
4179.00,100.44
4178.00,100.44
4177.00,100.44
4176.00,100.44
4175.00,100.44
4174.00,100.45
4173.00,100.45
4172.00,100.44
4171.00,100.44
4170.00,100.43
4169.00,100.43
4168.00,100.44
4167.00,100.44
4166.00,100.44
4165.00,100.44
4164.00,100.43
4163.00,100.43
4162.00,100.43
4161.00,100.42
4160.00,100.42
4159.00,100.42
4158.00,100.43
4157.00,100.43
4156.00,100.43
4155.00,100.43
4154.00,100.43
4153.00,100.43
4152.00,100.43
4151.00,100.42
4150.00,100.42
4149.00,100.42
4148.00,100.42
4147.00,100.42
4146.00,100.42
4145.00,100.41
4144.00,100.41
4143.00,100.40
4142.00,100.39
4141.00,100.39
4140.00,100.39
4139.00,100.39
4138.00,100.39
4137.00,100.39
4136.00,100.39
4135.00,100.39
4134.00,100.39
4133.00,100.39
4132.00,100.39
4131.00,100.39
4130.00,100.39
4129.00,100.39
4128.00,100.39
4127.00,100.39
4126.00,100.39
4125.00,100.39
4124.00,100.39
4123.00,100.39
4122.00,100.39
4121.00,100.39
4120.00,100.39
4119.00,100.39
4118.00,100.39
4117.00,100.39
4116.00,100.39
4115.00,100.38
4114.00,100.38
4113.00,100.38
4112.00,100.38
4111.00,100.38
4110.00,100.37
4109.00,100.36
4108.00,100.36
4107.00,100.35
4106.00,100.35
4105.00,100.36
4104.00,100.36
4103.00,100.36
4102.00,100.36
4101.00,100.35
4100.00,100.35
4099.00,100.35
4098.00,100.35
4097.00,100.36
4096.00,100.36
4095.00,100.36
4094.00,100.36
4093.00,100.36
4092.00,100.35
4091.00,100.34
4090.00,100.33
4089.00,100.33
4088.00,100.33
4087.00,100.33
4086.00,100.32
4085.00,100.32
4084.00,100.32
4083.00,100.32
4082.00,100.32
4081.00,100.32
4080.00,100.31
4079.00,100.31
4078.00,100.31
4077.00,100.31
4076.00,100.32
4075.00,100.32
4074.00,100.32
4073.00,100.31
4072.00,100.31
4071.00,100.30
4070.00,100.29
4069.00,100.29
4068.00,100.29
4067.00,100.29
4066.00,100.29
4065.00,100.28
4064.00,100.28
4063.00,100.28
4062.00,100.28
4061.00,100.28
4060.00,100.28
4059.00,100.28
4058.00,100.28
4057.00,100.27
4056.00,100.27
4055.00,100.26
4054.00,100.26
4053.00,100.25
4052.00,100.25
4051.00,100.25
4050.00,100.24
4049.00,100.24
4048.00,100.24
4047.00,100.24
4046.00,100.24
4045.00,100.24
4044.00,100.24
4043.00,100.24
4042.00,100.24
4041.00,100.24
4040.00,100.24
4039.00,100.24
4038.00,100.24
4037.00,100.24
4036.00,100.24
4035.00,100.23
4034.00,100.23
4033.00,100.22
4032.00,100.22
4031.00,100.22
4030.00,100.22
4029.00,100.21
4028.00,100.21
4027.00,100.21
4026.00,100.20
4025.00,100.20
4024.00,100.20
4023.00,100.20
4022.00,100.20
4021.00,100.20
4020.00,100.20
4019.00,100.20
4018.00,100.21
4017.00,100.21
4016.00,100.21
4015.00,100.21
4014.00,100.20
4013.00,100.20
4012.00,100.20
4011.00,100.20
4010.00,100.20
4009.00,100.20
4008.00,100.20
4007.00,100.20
4006.00,100.20
4005.00,100.20
4004.00,100.21
4003.00,100.21
4002.00,100.21
4001.00,100.21
4000.00,100.21
3999.00,100.21
3998.00,100.21
3997.00,100.21
3996.00,100.21
3995.00,100.20
3994.00,100.20
3993.00,100.20
3992.00,100.20
3991.00,100.21
3990.00,100.21
3989.00,100.22
3988.00,100.22
3987.00,100.22
3986.00,100.22
3985.00,100.22
3984.00,100.22
3983.00,100.22
3982.00,100.22
3981.00,100.22
3980.00,100.22
3979.00,100.22
3978.00,100.23
3977.00,100.24
3976.00,100.24
3975.00,100.25
3974.00,100.25
3973.00,100.26
3972.00,100.26
3971.00,100.26
3970.00,100.25
3969.00,100.25
3968.00,100.25
3967.00,100.25
3966.00,100.25
3965.00,100.26
3964.00,100.25
3963.00,100.25
3962.00,100.25
3961.00,100.25
3960.00,100.26
3959.00,100.26
3958.00,100.25
3957.00,100.25
3956.00,100.26
3955.00,100.26
3954.00,100.26
3953.00,100.26
3952.00,100.27
3951.00,100.27
3950.00,100.28
3949.00,100.28
3948.00,100.28
3947.00,100.28
3946.00,100.28
3945.00,100.28
3944.00,100.29
3943.00,100.30
3942.00,100.31
3941.00,100.31
3940.00,100.30
3939.00,100.30
3938.00,100.30
3937.00,100.30
3936.00,100.31
3935.00,100.31
3934.00,100.31
3933.00,100.31
3932.00,100.32
3931.00,100.32
3930.00,100.33
3929.00,100.32
3928.00,100.32
3927.00,100.31
3926.00,100.31
3925.00,100.31
3924.00,100.32
3923.00,100.33
3922.00,100.34
3921.00,100.34
3920.00,100.34
3919.00,100.34
3918.00,100.34
3917.00,100.35
3916.00,100.34
3915.00,100.34
3914.00,100.33
3913.00,100.33
3912.00,100.33
3911.00,100.33
3910.00,100.33
3909.00,100.34
3908.00,100.34
3907.00,100.33
3906.00,100.33
3905.00,100.33
3904.00,100.34
3903.00,100.34
3902.00,100.35
3901.00,100.35
3900.00,100.36
3899.00,100.37
3898.00,100.37
3897.00,100.36
3896.00,100.36
3895.00,100.36
3894.00,100.37
3893.00,100.37
3892.00,100.38
3891.00,100.38
3890.00,100.38
3889.00,100.36
3888.00,100.36
3887.00,100.35
3886.00,100.36
3885.00,100.36
3884.00,100.37
3883.00,100.38
3882.00,100.39
3881.00,100.40
3880.00,100.41
3879.00,100.40
3878.00,100.39
3877.00,100.38
3876.00,100.38
3875.00,100.39
3874.00,100.40
3873.00,100.40
3872.00,100.40
3871.00,100.40
3870.00,100.40
3869.00,100.39
3868.00,100.38
3867.00,100.37
3866.00,100.38
3865.00,100.39
