Created as New Dataset,Sample 005 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,99.53
4199.00,99.52
4198.00,99.52
4197.00,99.52
4196.00,99.52
4195.00,99.52
4194.00,99.52
4193.00,99.52
4192.00,99.52
4191.00,99.53
4190.00,99.53
4189.00,99.53
4188.00,99.53
4187.00,99.52
4186.00,99.51
4185.00,99.51
4184.00,99.50
4183.00,99.50
4182.00,99.50
4181.00,99.49
4180.00,99.49
4179.00,99.49
4178.00,99.50
4177.00,99.50
4176.00,99.51
4175.00,99.52
4174.00,99.52
4173.00,99.52
4172.00,99.51
4171.00,99.51
4170.00,99.51
4169.00,99.50
4168.00,99.50
4167.00,99.50
4166.00,99.49
4165.00,99.49
4164.00,99.50
4163.00,99.50
4162.00,99.50
4161.00,99.49
4160.00,99.49
4159.00,99.49
4158.00,99.49
4157.00,99.49
4156.00,99.49
4155.00,99.49
4154.00,99.49
4153.00,99.49
4152.00,99.49
4151.00,99.49
4150.00,99.49
4149.00,99.48
4148.00,99.48
4147.00,99.48
4146.00,99.49
4145.00,99.49
4144.00,99.50
4143.00,99.50
4142.00,99.50
4141.00,99.50
4140.00,99.49
4139.00,99.49
4138.00,99.48
4137.00,99.48
4136.00,99.48
4135.00,99.48
4134.00,99.48
4133.00,99.48
4132.00,99.49
4131.00,99.50
4130.00,99.50
4129.00,99.49
4128.00,99.49
4127.00,99.48
4126.00,99.48
4125.00,99.48
4124.00,99.48
4123.00,99.48
4122.00,99.47
4121.00,99.46
4120.00,99.46
4119.00,99.46
4118.00,99.46
4117.00,99.46
4116.00,99.46
4115.00,99.46
4114.00,99.46
4113.00,99.46
4112.00,99.46
4111.00,99.46
4110.00,99.45
4109.00,99.45
4108.00,99.44
4107.00,99.43
4106.00,99.43
4105.00,99.43
4104.00,99.44
4103.00,99.44
4102.00,99.45
4101.00,99.45
4100.00,99.44
4099.00,99.43
4098.00,99.42
4097.00,99.41
4096.00,99.41
4095.00,99.41
4094.00,99.41
4093.00,99.41
4092.00,99.41
4091.00,99.41
4090.00,99.41
4089.00,99.42
4088.00,99.42
4087.00,99.42
4086.00,99.42
4085.00,99.42
4084.00,99.42
4083.00,99.41
4082.00,99.41
4081.00,99.40
4080.00,99.40
4079.00,99.40
4078.00,99.41
4077.00,99.41
4076.00,99.41
4075.00,99.40
4074.00,99.39
4073.00,99.39
4072.00,99.38
4071.00,99.38
4070.00,99.38
4069.00,99.37
4068.00,99.37
4067.00,99.37
4066.00,99.37
4065.00,99.37
4064.00,99.37
4063.00,99.37
4062.00,99.36
4061.00,99.36
4060.00,99.35
4059.00,99.35
4058.00,99.35
4057.00,99.35
4056.00,99.35
4055.00,99.36
4054.00,99.36
4053.00,99.35
4052.00,99.35
4051.00,99.34
4050.00,99.33
4049.00,99.32
4048.00,99.32
4047.00,99.32
4046.00,99.32
4045.00,99.32
4044.00,99.32
4043.00,99.32
4042.00,99.32
4041.00,99.31
4040.00,99.31
4039.00,99.31
4038.00,99.31
4037.00,99.31
4036.00,99.32
4035.00,99.31
4034.00,99.31
4033.00,99.31
4032.00,99.31
4031.00,99.31
4030.00,99.31
4029.00,99.30
4028.00,99.30
4027.00,99.30
4026.00,99.30
4025.00,99.30
4024.00,99.29
4023.00,99.29
4022.00,99.29
4021.00,99.29
4020.00,99.30
4019.00,99.30
4018.00,99.30
4017.00,99.29
4016.00,99.29
4015.00,99.29
4014.00,99.29
4013.00,99.28
4012.00,99.28
4011.00,99.28
4010.00,99.28
4009.00,99.28
4008.00,99.28
4007.00,99.28
4006.00,99.28
4005.00,99.28
4004.00,99.29
4003.00,99.29
4002.00,99.30
4001.00,99.30
4000.00,99.29
3999.00,99.29
3998.00,99.29
3997.00,99.29
3996.00,99.28
3995.00,99.28
3994.00,99.28
3993.00,99.28
3992.00,99.29
3991.00,99.30
3990.00,99.30
3989.00,99.30
3988.00,99.31
3987.00,99.31
3986.00,99.31
3985.00,99.31
3984.00,99.31
3983.00,99.31
3982.00,99.31
3981.00,99.31
3980.00,99.31
3979.00,99.30
