Created as New Dataset,Sample 002 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,100.04
4199.00,100.04
4198.00,100.04
4197.00,100.04
4196.00,100.04
4195.00,100.04
4194.00,100.05
4193.00,100.05
4192.00,100.05
4191.00,100.05
4190.00,100.04
4189.00,100.04
4188.00,100.03
4187.00,100.03
4186.00,100.03
4185.00,100.04
4184.00,100.04
4183.00,100.04
4182.00,100.04
4181.00,100.04
4180.00,100.04
4179.00,100.04
4178.00,100.03
4177.00,100.03
4176.00,100.03
4175.00,100.03
4174.00,100.03
4173.00,100.03
4172.00,100.03
4171.00,100.02
4170.00,100.02
4169.00,100.02
4168.00,100.03
4167.00,100.03
4166.00,100.03
4165.00,100.03
4164.00,100.02
4163.00,100.02
4162.00,100.01
4161.00,100.01
4160.00,100.01
4159.00,100.02
4158.00,100.02
4157.00,100.01
4156.00,100.01
4155.00,100.01
4154.00,100.01
4153.00,100.01
4152.00,100.01
4151.00,100.01
4150.00,100.00
4149.00,100.00
4148.00,99.99
4147.00,100.00
4146.00,100.01
4145.00,100.01
4144.00,100.01
4143.00,100.00
4142.00,99.99
4141.00,99.99
4140.00,99.99
4139.00,99.99
4138.00,99.99
4137.00,99.99
4136.00,99.98
4135.00,99.98
4134.00,99.98
4133.00,99.99
4132.00,99.99
4131.00,100.00
4130.00,99.99
4129.00,99.99
4128.00,99.99
4127.00,99.98
4126.00,99.98
4125.00,99.97
4124.00,99.97
4123.00,99.97
4122.00,99.96
4121.00,99.96
4120.00,99.96
4119.00,99.96
4118.00,99.96
4117.00,99.96
4116.00,99.96
4115.00,99.96
4114.00,99.96
4113.00,99.96
4112.00,99.96
4111.00,99.96
4110.00,99.96
4109.00,99.95
4108.00,99.95
4107.00,99.95
4106.00,99.94
4105.00,99.94
4104.00,99.94
4103.00,99.95
4102.00,99.95
4101.00,99.95
4100.00,99.95
4099.00,99.94
4098.00,99.94
4097.00,99.94
4096.00,99.94
4095.00,99.94
4094.00,99.94
4093.00,99.93
4092.00,99.93
4091.00,99.92
4090.00,99.92
4089.00,99.92
4088.00,99.92
4087.00,99.92
4086.00,99.92
4085.00,99.92
4084.00,99.92
4083.00,99.91
4082.00,99.91
4081.00,99.90
4080.00,99.90
4079.00,99.89
4078.00,99.89
4077.00,99.89
4076.00,99.89
4075.00,99.88
4074.00,99.88
4073.00,99.88
4072.00,99.87
4071.00,99.87
4070.00,99.87
4069.00,99.87
4068.00,99.86
4067.00,99.86
4066.00,99.86
4065.00,99.86
4064.00,99.85
4063.00,99.85
4062.00,99.85
4061.00,99.85
4060.00,99.85
4059.00,99.85
4058.00,99.85
4057.00,99.84
4056.00,99.84
4055.00,99.84
4054.00,99.84
4053.00,99.84
4052.00,99.84
4051.00,99.83
4050.00,99.83
4049.00,99.83
4048.00,99.83
4047.00,99.83
4046.00,99.83
4045.00,99.83
4044.00,99.82
4043.00,99.82
4042.00,99.82
4041.00,99.82
4040.00,99.82
4039.00,99.82
4038.00,99.82
4037.00,99.82
4036.00,99.82
4035.00,99.82
4034.00,99.81
4033.00,99.81
4032.00,99.80
4031.00,99.79
4030.00,99.79
4029.00,99.78
4028.00,99.78
4027.00,99.78
4026.00,99.78
4025.00,99.78
4024.00,99.78
4023.00,99.78
4022.00,99.79
4021.00,99.79
4020.00,99.79
4019.00,99.79
4018.00,99.79
4017.00,99.79
4016.00,99.78
4015.00,99.78
4014.00,99.78
4013.00,99.78
4012.00,99.78
4011.00,99.78
4010.00,99.78
4009.00,99.78
4008.00,99.78
4007.00,99.78
4006.00,99.78
4005.00,99.78
4004.00,99.79
4003.00,99.79
4002.00,99.79
4001.00,99.79
4000.00,99.78
3999.00,99.78
3998.00,99.78
3997.00,99.78
3996.00,99.79
3995.00,99.79
3994.00,99.79
3993.00,99.79
3992.00,99.79
3991.00,99.79
3990.00,99.80
3989.00,99.80
3988.00,99.80
3987.00,99.80
3986.00,99.80
3985.00,99.80
3984.00,99.80
3983.00,99.80
3982.00,99.80
3981.00,99.81
3980.00,99.81
3979.00,99.81
3978.00,99.81
3977.00,99.82
3976.00,99.82
3975.00,99.82
3974.00,99.82
3973.00,99.83
3972.00,99.82
3971.00,99.82
3970.00,99.82
3969.00,99.82
3968.00,99.83
3967.00,99.83
3966.00,99.83
3965.00,99.83
3964.00,99.83
3963.00,99.83
3962.00,99.83
3961.00,99.83
3960.00,99.83
3959.00,99.84
3958.00,99.84
3957.00,99.85
3956.00,99.85
3955.00,99.85
3954.00,99.85
3953.00,99.85
3952.00,99.85
3951.00,99.86
3950.00,99.86
3949.00,99.87
3948.00,99.87
3947.00,99.86
3946.00,99.86
3945.00,99.86
3944.00,99.86
3943.00,99.87
3942.00,99.88
3941.00,99.88
3940.00,99.88
3939.00,99.88
3938.00,99.88
3937.00,99.87
3936.00,99.86
3935.00,99.86
3934.00,99.86
3933.00,99.87
3932.00,99.88
3931.00,99.89
3930.00,99.90
3929.00,99.90
3928.00,99.90
3927.00,99.89
3926.00,99.88
3925.00,99.88
3924.00,99.89
3923.00,99.90
3922.00,99.90
3921.00,99.91
3920.00,99.91
3919.00,99.91
3918.00,99.92
3917.00,99.91
3916.00,99.91
3915.00,99.91
3914.00,99.91
3913.00,99.91
3912.00,99.91
3911.00,99.92
3910.00,99.92
3909.00,99.92
3908.00,99.92
3907.00,99.91
3906.00,99.91
3905.00,99.91
3904.00,99.92
3903.00,99.92
3902.00,99.92
3901.00,99.93
3900.00,99.94
