Created as New Dataset,Sample 014 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,100.22
4199.00,100.22
4198.00,100.22
4197.00,100.21
4196.00,100.21
4195.00,100.21
4194.00,100.22
4193.00,100.22
4192.00,100.22
4191.00,100.22
4190.00,100.22
4189.00,100.22
4188.00,100.22
4187.00,100.22
4186.00,100.22
4185.00,100.23
4184.00,100.23
4183.00,100.23
4182.00,100.22
4181.00,100.22
4180.00,100.22
4179.00,100.22
4178.00,100.21
4177.00,100.20
4176.00,100.20
4175.00,100.20
4174.00,100.20
4173.00,100.21
4172.00,100.21
4171.00,100.20
4170.00,100.20
4169.00,100.20
4168.00,100.20
4167.00,100.20
4166.00,100.20
4165.00,100.20
4164.00,100.20
4163.00,100.20
4162.00,100.20
4161.00,100.20
4160.00,100.20
4159.00,100.20
4158.00,100.19
4157.00,100.19
4156.00,100.19
4155.00,100.19
4154.00,100.19
4153.00,100.19
4152.00,100.19
4151.00,100.18
4150.00,100.18
4149.00,100.18
4148.00,100.18
4147.00,100.18
4146.00,100.18
4145.00,100.18
4144.00,100.17
4143.00,100.17
4142.00,100.17
4141.00,100.17
4140.00,100.17
4139.00,100.18
4138.00,100.18
4137.00,100.18
4136.00,100.17
4135.00,100.17
4134.00,100.16
4133.00,100.17
4132.00,100.17
4131.00,100.17
4130.00,100.17
4129.00,100.17
4128.00,100.16
4127.00,100.16
4126.00,100.16
4125.00,100.15
4124.00,100.15
4123.00,100.16
4122.00,100.16
4121.00,100.16
4120.00,100.16
4119.00,100.16
4118.00,100.16
4117.00,100.16
4116.00,100.16
4115.00,100.15
4114.00,100.14
4113.00,100.14
4112.00,100.13
4111.00,100.13
4110.00,100.12
4109.00,100.12
4108.00,100.12
4107.00,100.12
4106.00,100.13
4105.00,100.14
4104.00,100.14
4103.00,100.14
4102.00,100.13
4101.00,100.13
4100.00,100.13
4099.00,100.13
4098.00,100.13
4097.00,100.13
4096.00,100.13
4095.00,100.13
4094.00,100.13
4093.00,100.13
4092.00,100.12
4091.00,100.11
4090.00,100.10
4089.00,100.10
4088.00,100.10
4087.00,100.11
4086.00,100.11
4085.00,100.12
4084.00,100.12
4083.00,100.11
4082.00,100.11
4081.00,100.11
4080.00,100.11
4079.00,100.11
4078.00,100.11
4077.00,100.10
4076.00,100.09
4075.00,100.09
4074.00,100.08
4073.00,100.08
4072.00,100.08
4071.00,100.08
4070.00,100.08
4069.00,100.08
4068.00,100.08
4067.00,100.08
4066.00,100.07
4065.00,100.07
4064.00,100.06
4063.00,100.06
4062.00,100.06
4061.00,100.06
4060.00,100.06
4059.00,100.06
4058.00,100.06
4057.00,100.06
4056.00,100.06
4055.00,100.06
4054.00,100.06
4053.00,100.05
4052.00,100.04
4051.00,100.04
4050.00,100.03
4049.00,100.04
4048.00,100.04
4047.00,100.04
4046.00,100.04
4045.00,100.04
4044.00,100.03
4043.00,100.03
4042.00,100.03
4041.00,100.02
4040.00,100.03
4039.00,100.03
4038.00,100.03
4037.00,100.03
4036.00,100.03
4035.00,100.03
4034.00,100.03
4033.00,100.02
4032.00,100.02
4031.00,100.01
4030.00,100.01
4029.00,100.00
4028.00,100.00
4027.00,100.00
4026.00,100.00
4025.00,100.00
4024.00,100.00
4023.00,100.00
4022.00,100.00
4021.00,100.00
4020.00,100.00
4019.00,100.00
4018.00,100.01
4017.00,100.01
4016.00,100.01
4015.00,100.01
4014.00,100.01
4013.00,100.01
4012.00,100.00
4011.00,100.00
4010.00,100.00
4009.00,100.00
4008.00,100.00
4007.00,100.00
4006.00,100.00
4005.00,100.00
4004.00,100.00
4003.00,100.00
4002.00,100.00
4001.00,100.00
4000.00,100.00
3999.00,100.00
3998.00,100.00
3997.00,100.01
3996.00,100.01
3995.00,100.01
3994.00,100.01
