Created as New Dataset,Sample 006 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,99.22
4199.00,99.22
4198.00,99.21
4197.00,99.20
4196.00,99.20
4195.00,99.20
4194.00,99.20
4193.00,99.21
4192.00,99.21
4191.00,99.22
4190.00,99.22
4189.00,99.22
4188.00,99.22
4187.00,99.22
4186.00,99.22
4185.00,99.22
4184.00,99.21
4183.00,99.21
4182.00,99.20
4181.00,99.19
4180.00,99.19
4179.00,99.19
4178.00,99.19
4177.00,99.20
4176.00,99.20
4175.00,99.21
4174.00,99.21
4173.00,99.20
4172.00,99.20
4171.00,99.20
4170.00,99.20
4169.00,99.20
4168.00,99.20
4167.00,99.20
4166.00,99.19
4165.00,99.19
4164.00,99.19
4163.00,99.20
4162.00,99.20
4161.00,99.19
4160.00,99.19
4159.00,99.19
4158.00,99.19
4157.00,99.20
4156.00,99.20
4155.00,99.20
4154.00,99.20
4153.00,99.20
4152.00,99.20
4151.00,99.19
4150.00,99.19
4149.00,99.19
4148.00,99.19
4147.00,99.19
4146.00,99.19
4145.00,99.19
4144.00,99.18
4143.00,99.18
4142.00,99.18
4141.00,99.18
4140.00,99.18
4139.00,99.18
4138.00,99.18
4137.00,99.18
4136.00,99.17
4135.00,99.18
4134.00,99.18
4133.00,99.18
4132.00,99.18
4131.00,99.18
4130.00,99.18
4129.00,99.18
4128.00,99.18
4127.00,99.17
4126.00,99.17
4125.00,99.17
4124.00,99.17
4123.00,99.16
4122.00,99.15
4121.00,99.15
4120.00,99.14
4119.00,99.14
4118.00,99.14
4117.00,99.14
4116.00,99.15
4115.00,99.15
4114.00,99.16
4113.00,99.16
4112.00,99.16
4111.00,99.16
4110.00,99.15
4109.00,99.15
4108.00,99.14
4107.00,99.13
4106.00,99.13
4105.00,99.12
4104.00,99.12
4103.00,99.12
4102.00,99.12
4101.00,99.13
4100.00,99.13
4099.00,99.13
4098.00,99.12
4097.00,99.11
4096.00,99.10
4095.00,99.09
4094.00,99.09
4093.00,99.09
4092.00,99.10
4091.00,99.10
4090.00,99.10
4089.00,99.11
4088.00,99.11
4087.00,99.12
4086.00,99.12
4085.00,99.11
4084.00,99.11
4083.00,99.11
4082.00,99.10
4081.00,99.10
4080.00,99.10
4079.00,99.10
4078.00,99.10
4077.00,99.10
4076.00,99.10
4075.00,99.09
4074.00,99.09
4073.00,99.08
4072.00,99.08
4071.00,99.08
4070.00,99.07
4069.00,99.07
4068.00,99.06
4067.00,99.06
4066.00,99.06
4065.00,99.06
4064.00,99.06
4063.00,99.06
4062.00,99.06
4061.00,99.05
4060.00,99.05
4059.00,99.05
4058.00,99.05
4057.00,99.04
4056.00,99.04
4055.00,99.04
4054.00,99.04
4053.00,99.04
4052.00,99.03
4051.00,99.02
4050.00,99.02
4049.00,99.01
4048.00,99.02
4047.00,99.02
4046.00,99.02
4045.00,99.02
4044.00,99.02
4043.00,99.01
4042.00,99.00
4041.00,99.00
4040.00,99.00
4039.00,99.00
4038.00,99.01
4037.00,99.02
4036.00,99.02
4035.00,99.02
4034.00,99.02
4033.00,99.01
4032.00,99.01
4031.00,99.01
4030.00,99.01
4029.00,99.00
4028.00,99.00
4027.00,98.99
4026.00,98.99
4025.00,98.99
4024.00,98.99
4023.00,98.99
4022.00,98.99
4021.00,99.00
4020.00,99.00
4019.00,99.00
4018.00,98.99
4017.00,98.99
4016.00,98.99
4015.00,98.99
4014.00,98.98
4013.00,98.98
4012.00,98.98
4011.00,98.98
4010.00,98.98
4009.00,98.98
4008.00,98.98
4007.00,98.98
4006.00,98.98
4005.00,98.98
4004.00,98.98
4003.00,98.98
4002.00,98.98
4001.00,98.99
4000.00,98.99
3999.00,98.99
3998.00,98.99
3997.00,98.99
3996.00,98.99
3995.00,98.99
3994.00,98.98
3993.00,98.98
3992.00,98.98
3991.00,98.98
3990.00,98.99
3989.00,98.99
3988.00,99.00
3987.00,99.00
3986.00,99.00
3985.00,99.00
3984.00,99.00
3983.00,99.00
3982.00,99.00
3981.00,99.01
3980.00,99.01
3979.00,99.01
3978.00,99.00
3977.00,99.00
3976.00,99.00
3975.00,99.01
3974.00,99.01
3973.00,99.02
3972.00,99.02
3971.00,99.02
3970.00,99.02
3969.00,99.02
3968.00,99.02
3967.00,99.02
3966.00,99.02
3965.00,99.02
3964.00,99.02
3963.00,99.03
3962.00,99.03
3961.00,99.04
3960.00,99.04
3959.00,99.04
3958.00,99.05
3957.00,99.05
3956.00,99.05
3955.00,99.05
3954.00,99.05
3953.00,99.05
3952.00,99.05
3951.00,99.05
3950.00,99.05
3949.00,99.05
3948.00,99.05
3947.00,99.05
3946.00,99.05
3945.00,99.06
3944.00,99.06
3943.00,99.06
3942.00,99.07
3941.00,99.07
3940.00,99.08
3939.00,99.08
3938.00,99.08
3937.00,99.08
3936.00,99.08
3935.00,99.08
3934.00,99.09
3933.00,99.09
3932.00,99.09
3931.00,99.09
3930.00,99.09
3929.00,99.09
3928.00,99.09
3927.00,99.09
3926.00,99.10
3925.00,99.10
3924.00,99.10
3923.00,99.10
3922.00,99.10
3921.00,99.10
3920.00,99.10
3919.00,99.11
3918.00,99.12
3917.00,99.12
3916.00,99.13
3915.00,99.13
3914.00,99.13
3913.00,99.13
3912.00,99.13
3911.00,99.14
3910.00,99.14
3909.00,99.14
3908.00,99.14
3907.00,99.13
3906.00,99.13
3905.00,99.14
3904.00,99.14
3903.00,99.15
3902.00,99.15
3901.00,99.15
3900.00,99.15
3899.00,99.15
3898.00,99.15
3897.00,99.15
3896.00,99.16
3895.00,99.16
3894.00,99.16
3893.00,99.16
3892.00,99.16
3891.00,99.16
3890.00,99.16
3889.00,99.17
3888.00,99.18
3887.00,99.19
3886.00,99.20
3885.00,99.19
3884.00,99.18
3883.00,99.17
3882.00,99.16
3881.00,99.16
3880.00,99.17
3879.00,99.17
3878.00,99.17
3877.00,99.17
3876.00,99.17
3875.00,99.17
3874.00,99.17
3873.00,99.17
3872.00,99.17
3871.00,99.17
3870.00,99.17
3869.00,99.17
3868.00,99.17
3867.00,99.17
3866.00,99.18
3865.00,99.19
3864.00,99.19
3863.00,99.19
3862.00,99.20
3861.00,99.20
3860.00,99.20
3859.00,99.20
3858.00,99.19
3857.00,99.18
3856.00,99.17
3855.00,99.17
3854.00,99.18
3853.00,99.19
3852.00,99.19
3851.00,99.19
3850.00,99.20
3849.00,99.20
3848.00,99.21
3847.00,99.21
3846.00,99.21
3845.00,99.21
3844.00,99.21
3843.00,99.20
3842.00,99.19
3841.00,99.18
3840.00,99.18
3839.00,99.18
3838.00,99.18
3837.00,99.18
3836.00,99.18
3835.00,99.18
3834.00,99.18
3833.00,99.19
3832.00,99.19
3831.00,99.20
3830.00,99.20
3829.00,99.20
3828.00,99.20
3827.00,99.20
3826.00,99.20
3825.00,99.19
3824.00,99.19
3823.00,99.19
3822.00,99.18
3821.00,99.18
3820.00,99.18
3819.00,99.18
3818.00,99.19
3817.00,99.20
3816.00,99.20
3815.00,99.21
3814.00,99.21
3813.00,99.21
3812.00,99.21
3811.00,99.21
3810.00,99.20
3809.00,99.20
3808.00,99.19
3807.00,99.19
3806.00,99.18
3805.00,99.18
3804.00,99.18
3803.00,99.18
3802.00,99.19
3801.00,99.19
3800.00,99.19
3799.00,99.20
3798.00,99.21
3797.00,99.22
3796.00,99.22
3795.00,99.22
3794.00,99.22
3793.00,99.22
3792.00,99.22
3791.00,99.22
3790.00,99.22
3789.00,99.21
3788.00,99.20
3787.00,99.20
3786.00,99.19
3785.00,99.19
3784.00,99.19
3783.00,99.19
3782.00,99.19
3781.00,99.19
3780.00,99.19
3779.00,99.20
3778.00,99.20
3777.00,99.20
3776.00,99.20
3775.00,99.20
3774.00,99.20
3773.00,99.20
3772.00,99.19
3771.00,99.19
3770.00,99.19
3769.00,99.18
3768.00,99.18
3767.00,99.18
3766.00,99.18
3765.00,99.17
3764.00,99.17
3763.00,99.18
3762.00,99.18
3761.00,99.18
3760.00,99.18
3759.00,99.17
3758.00,99.16
3757.00,99.15
3756.00,99.14
3755.00,99.14
3754.00,99.14
3753.00,99.14
3752.00,99.14
3751.00,99.14
3750.00,99.15
3749.00,99.15
3748.00,99.14
3747.00,99.13
3746.00,99.13
3745.00,99.12
3744.00,99.12
3743.00,99.13
3742.00,99.13
3741.00,99.13
3740.00,99.13
3739.00,99.13
3738.00,99.12
3737.00,99.12
3736.00,99.12
3735.00,99.11
3734.00,99.11
3733.00,99.11
3732.00,99.10
3731.00,99.10
3730.00,99.10
3729.00,99.10
3728.00,99.10
3727.00,99.10
3726.00,99.10
3725.00,99.09
3724.00,99.09
3723.00,99.09
3722.00,99.08
3721.00,99.07
3720.00,99.07
3719.00,99.06
3718.00,99.05
3717.00,99.05
3716.00,99.04
3715.00,99.03
3714.00,99.02
3713.00,99.00
3712.00,98.98
3711.00,98.97
3710.00,98.97
3709.00,98.97
3708.00,98.97
3707.00,98.97
3706.00,98.97
3705.00,98.96
3704.00,98.96
3703.00,98.95
3702.00,98.94
3701.00,98.92
3700.00,98.91
3699.00,98.89
3698.00,98.87
3697.00,98.86
3696.00,98.84
3695.00,98.82
3694.00,98.81
3693.00,98.79
3692.00,98.77
3691.00,98.75
3690.00,98.73
3689.00,98.71
3688.00,98.69
3687.00,98.67
3686.00,98.65
3685.00,98.63
3684.00,98.61
3683.00,98.59
3682.00,98.57
3681.00,98.55
3680.00,98.52
3679.00,98.49
3678.00,98.44
3677.00,98.39
3676.00,98.33
3675.00,98.28
3674.00,98.24
3673.00,98.21
3672.00,98.18
3671.00,98.14
3670.00,98.10
3669.00,98.06
3668.00,98.02
3667.00,97.98
3666.00,97.94
3665.00,97.89
3664.00,97.84
3663.00,97.78
3662.00,97.72
3661.00,97.66
3660.00,97.61
3659.00,97.56
3658.00,97.50
3657.00,97.43
3656.00,97.36
3655.00,97.29
3654.00,97.23
