Created as New Dataset,Sample 013 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,100.62
4199.00,100.62
4198.00,100.62
4197.00,100.62
4196.00,100.62
4195.00,100.62
4194.00,100.63
4193.00,100.63
4192.00,100.63
4191.00,100.62
4190.00,100.62
4189.00,100.61
4188.00,100.61
4187.00,100.62
4186.00,100.63
4185.00,100.63
4184.00,100.63
4183.00,100.63
4182.00,100.62
4181.00,100.62
4180.00,100.61
4179.00,100.61
4178.00,100.61
4177.00,100.61
4176.00,100.61
4175.00,100.61
4174.00,100.61
4173.00,100.61
4172.00,100.61
4171.00,100.61
4170.00,100.61
4169.00,100.61
4168.00,100.61
4167.00,100.61
4166.00,100.61
4165.00,100.60
4164.00,100.60
4163.00,100.60
4162.00,100.59
4161.00,100.59
4160.00,100.59
4159.00,100.60
4158.00,100.60
4157.00,100.61
4156.00,100.61
4155.00,100.60
4154.00,100.60
4153.00,100.60
4152.00,100.60
4151.00,100.60
4150.00,100.60
4149.00,100.60
4148.00,100.60
4147.00,100.59
4146.00,100.59
4145.00,100.59
4144.00,100.58
4143.00,100.57
4142.00,100.57
4141.00,100.57
4140.00,100.58
4139.00,100.58
4138.00,100.58
4137.00,100.58
4136.00,100.58
4135.00,100.57
4134.00,100.57
4133.00,100.57
4132.00,100.57
4131.00,100.58
4130.00,100.58
4129.00,100.58
4128.00,100.57
4127.00,100.57
4126.00,100.56
4125.00,100.56
4124.00,100.56
4123.00,100.56
4122.00,100.56
4121.00,100.56
4120.00,100.56
4119.00,100.56
4118.00,100.56
4117.00,100.55
4116.00,100.55
4115.00,100.56
4114.00,100.56
4113.00,100.55
4112.00,100.55
4111.00,100.54
4110.00,100.54
4109.00,100.54
4108.00,100.54
4107.00,100.54
4106.00,100.54
4105.00,100.54
4104.00,100.53
4103.00,100.53
4102.00,100.52
4101.00,100.53
4100.00,100.53
4099.00,100.53
4098.00,100.54
4097.00,100.54
4096.00,100.54
4095.00,100.53
4094.00,100.53
4093.00,100.53
4092.00,100.52
4091.00,100.52
4090.00,100.51
4089.00,100.50
4088.00,100.50
4087.00,100.50
4086.00,100.51
4085.00,100.51
4084.00,100.51
4083.00,100.51
4082.00,100.51
4081.00,100.50
4080.00,100.50
4079.00,100.49
4078.00,100.48
4077.00,100.48
4076.00,100.48
4075.00,100.49
4074.00,100.49
4073.00,100.49
4072.00,100.49
4071.00,100.48
4070.00,100.48
4069.00,100.47
4068.00,100.47
4067.00,100.47
4066.00,100.47
4065.00,100.47
4064.00,100.46
4063.00,100.46
4062.00,100.46
4061.00,100.45
4060.00,100.45
4059.00,100.44
4058.00,100.44
4057.00,100.44
4056.00,100.44
4055.00,100.44
4054.00,100.44
4053.00,100.43
4052.00,100.43
4051.00,100.43
4050.00,100.43
4049.00,100.43
4048.00,100.43
4047.00,100.43
4046.00,100.43
4045.00,100.42
4044.00,100.42
4043.00,100.41
4042.00,100.41
4041.00,100.41
4040.00,100.41
4039.00,100.41
4038.00,100.41
4037.00,100.42
4036.00,100.42
4035.00,100.42
4034.00,100.41
4033.00,100.41
4032.00,100.40
4031.00,100.39
4030.00,100.38
4029.00,100.38
4028.00,100.37
4027.00,100.37
4026.00,100.37
4025.00,100.37
4024.00,100.37
4023.00,100.37
4022.00,100.37
4021.00,100.37
4020.00,100.38
4019.00,100.38
4018.00,100.38
4017.00,100.38
4016.00,100.39
4015.00,100.39
4014.00,100.39
4013.00,100.39
4012.00,100.39
4011.00,100.38
4010.00,100.38
4009.00,100.38
4008.00,100.39
4007.00,100.39
4006.00,100.39
4005.00,100.39
4004.00,100.38
4003.00,100.38
4002.00,100.38
4001.00,100.37
4000.00,100.38
3999.00,100.38
3998.00,100.38
3997.00,100.38
3996.00,100.38
3995.00,100.39
3994.00,100.39
3993.00,100.39
3992.00,100.39
3991.00,100.39
3990.00,100.40
3989.00,100.40
3988.00,100.40
3987.00,100.40
3986.00,100.40
3985.00,100.40
3984.00,100.41
3983.00,100.41
3982.00,100.41
3981.00,100.41
3980.00,100.41
3979.00,100.41
3978.00,100.41
3977.00,100.41
3976.00,100.41
3975.00,100.41
3974.00,100.42
3973.00,100.42
3972.00,100.43
3971.00,100.43
3970.00,100.43
3969.00,100.43
3968.00,100.43
3967.00,100.43
3966.00,100.43
3965.00,100.43
3964.00,100.43
3963.00,100.43
3962.00,100.43
3961.00,100.44
3960.00,100.44
3959.00,100.44
3958.00,100.44
3957.00,100.44
3956.00,100.44
3955.00,100.44
3954.00,100.44
3953.00,100.45
3952.00,100.45
3951.00,100.45
3950.00,100.46
3949.00,100.46
3948.00,100.46
3947.00,100.46
3946.00,100.46
3945.00,100.46
3944.00,100.46
3943.00,100.47
3942.00,100.48
3941.00,100.48
3940.00,100.48
3939.00,100.48
3938.00,100.48
3937.00,100.49
3936.00,100.49
3935.00,100.49
3934.00,100.49
3933.00,100.49
3932.00,100.50
3931.00,100.50
3930.00,100.51
3929.00,100.51
3928.00,100.50
3927.00,100.49
3926.00,100.48
3925.00,100.48
3924.00,100.49
3923.00,100.50
3922.00,100.51
3921.00,100.52
3920.00,100.53
3919.00,100.53
3918.00,100.52
3917.00,100.52
3916.00,100.51
3915.00,100.51
3914.00,100.51
3913.00,100.51
3912.00,100.51
3911.00,100.52
3910.00,100.52
3909.00,100.52
3908.00,100.53
3907.00,100.53
3906.00,100.53
3905.00,100.53
3904.00,100.55
3903.00,100.56
3902.00,100.56
3901.00,100.56
3900.00,100.55
3899.00,100.55
3898.00,100.55
3897.00,100.55
3896.00,100.55
3895.00,100.55
3894.00,100.55
3893.00,100.55
3892.00,100.55
3891.00,100.57
3890.00,100.57
3889.00,100.57
3888.00,100.56
3887.00,100.55
3886.00,100.55
3885.00,100.57
3884.00,100.57
3883.00,100.57
3882.00,100.57
3881.00,100.57
3880.00,100.58
3879.00,100.59
3878.00,100.59
3877.00,100.59
3876.00,100.58
3875.00,100.59
3874.00,100.60
3873.00,100.60
3872.00,100.60
3871.00,100.59
3870.00,100.59
3869.00,100.60
3868.00,100.60
3867.00,100.58
3866.00,100.57
3865.00,100.57
3864.00,100.58
3863.00,100.59
3862.00,100.60
3861.00,100.61
3860.00,100.60
3859.00,100.60
3858.00,100.60
3857.00,100.61
3856.00,100.61
3855.00,100.61
3854.00,100.61
3853.00,100.62
3852.00,100.61
3851.00,100.59
3850.00,100.57
3849.00,100.57
3848.00,100.58
3847.00,100.59
3846.00,100.60
3845.00,100.60
3844.00,100.60
3843.00,100.61
3842.00,100.62
3841.00,100.62
3840.00,100.62
3839.00,100.61
3838.00,100.61
3837.00,100.61
3836.00,100.60
3835.00,100.59
3834.00,100.59
3833.00,100.60
3832.00,100.61
3831.00,100.62
3830.00,100.63
3829.00,100.63
3828.00,100.62
3827.00,100.62
3826.00,100.63
3825.00,100.63
3824.00,100.62
3823.00,100.61
3822.00,100.61
3821.00,100.62
3820.00,100.63
3819.00,100.62
3818.00,100.61
3817.00,100.60
3816.00,100.61
3815.00,100.61
3814.00,100.61
3813.00,100.60
3812.00,100.61
3811.00,100.62
3810.00,100.62
3809.00,100.62
3808.00,100.61
3807.00,100.61
3806.00,100.62
3805.00,100.61
3804.00,100.59
3803.00,100.58
3802.00,100.57
3801.00,100.59
3800.00,100.60
3799.00,100.59
3798.00,100.59
3797.00,100.59
3796.00,100.60
3795.00,100.61
3794.00,100.61
3793.00,100.62
3792.00,100.62
3791.00,100.62
3790.00,100.61
3789.00,100.61
3788.00,100.60
3787.00,100.59
3786.00,100.59
3785.00,100.59
3784.00,100.59
3783.00,100.59
3782.00,100.59
3781.00,100.59
3780.00,100.59
3779.00,100.60
3778.00,100.60
3777.00,100.60
3776.00,100.60
3775.00,100.60
3774.00,100.60
3773.00,100.60
3772.00,100.59
3771.00,100.59
3770.00,100.59
3769.00,100.60
3768.00,100.60
3767.00,100.59
3766.00,100.58
3765.00,100.58
3764.00,100.58
3763.00,100.57
3762.00,100.56
3761.00,100.56
3760.00,100.56
3759.00,100.56
3758.00,100.57
3757.00,100.57
3756.00,100.57
3755.00,100.57
3754.00,100.57
3753.00,100.56
3752.00,100.55
