Created as New Dataset,Sample 300 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,100.28
4199.00,100.28
4198.00,100.27
4197.00,100.26
4196.00,100.26
4195.00,100.26
4194.00,100.26
4193.00,100.27
4192.00,100.27
4191.00,100.27
4190.00,100.26
4189.00,100.26
4188.00,100.26
4187.00,100.26
4186.00,100.26
4185.00,100.26
4184.00,100.25
4183.00,100.25
4182.00,100.25
4181.00,100.25
4180.00,100.25
4179.00,100.25
4178.00,100.25
4177.00,100.26
4176.00,100.26
4175.00,100.26
4174.00,100.25
4173.00,100.25
4172.00,100.25
4171.00,100.25
4170.00,100.25
4169.00,100.25
4168.00,100.26
4167.00,100.25
4166.00,100.25
4165.00,100.25
4164.00,100.24
4163.00,100.24
4162.00,100.23
4161.00,100.23
4160.00,100.23
4159.00,100.22
4158.00,100.22
4157.00,100.22
4156.00,100.22
4155.00,100.22
4154.00,100.22
4153.00,100.22
4152.00,100.22
4151.00,100.22
4150.00,100.22
4149.00,100.22
4148.00,100.22
4147.00,100.21
4146.00,100.21
4145.00,100.20
4144.00,100.20
4143.00,100.20
4142.00,100.19
4141.00,100.19
4140.00,100.18
4139.00,100.18
4138.00,100.18
4137.00,100.18
4136.00,100.18
4135.00,100.18
4134.00,100.18
4133.00,100.18
4132.00,100.19
4131.00,100.19
4130.00,100.20
4129.00,100.19
4128.00,100.19
4127.00,100.18
4126.00,100.17
4125.00,100.17
4124.00,100.17
4123.00,100.18
4122.00,100.18
4121.00,100.18
4120.00,100.18
4119.00,100.18
4118.00,100.17
4117.00,100.16
4116.00,100.15
4115.00,100.15
4114.00,100.15
4113.00,100.15
4112.00,100.15
4111.00,100.15
4110.00,100.14
4109.00,100.14
4108.00,100.14
4107.00,100.14
4106.00,100.14
4105.00,100.14
4104.00,100.14
4103.00,100.14
4102.00,100.13
4101.00,100.13
4100.00,100.12
4099.00,100.12
4098.00,100.11
4097.00,100.11
4096.00,100.11
4095.00,100.12
4094.00,100.12
4093.00,100.12
4092.00,100.12
4091.00,100.11
4090.00,100.11
4089.00,100.11
4088.00,100.10
4087.00,100.10
4086.00,100.10
4085.00,100.10
4084.00,100.10
4083.00,100.10
4082.00,100.10
4081.00,100.10
4080.00,100.09
4079.00,100.09
4078.00,100.09
4077.00,100.09
4076.00,100.08
4075.00,100.08
4074.00,100.08
4073.00,100.08
4072.00,100.07
4071.00,100.07
4070.00,100.06
4069.00,100.06
4068.00,100.05
4067.00,100.05
4066.00,100.05
4065.00,100.04
4064.00,100.04
4063.00,100.03
4062.00,100.02
4061.00,100.02
4060.00,100.03
4059.00,100.03
4058.00,100.03
4057.00,100.02
4056.00,100.02
4055.00,100.02
4054.00,100.02
4053.00,100.02
4052.00,100.02
4051.00,100.01
4050.00,100.01
4049.00,100.00
4048.00,100.00
4047.00,100.00
4046.00,100.00
4045.00,100.00
4044.00,100.00
4043.00,100.01
4042.00,100.00
4041.00,100.00
4040.00,99.99
4039.00,99.99
4038.00,99.99
4037.00,99.99
4036.00,99.98
4035.00,99.98
4034.00,99.97
4033.00,99.97
4032.00,99.97
4031.00,99.97
4030.00,99.96
4029.00,99.96
4028.00,99.95
4027.00,99.95
4026.00,99.95
4025.00,99.95
4024.00,99.95
4023.00,99.95
4022.00,99.95
4021.00,99.95
4020.00,99.95
4019.00,99.95
4018.00,99.94
4017.00,99.94
4016.00,99.94
4015.00,99.94
4014.00,99.94
4013.00,99.94
4012.00,99.95
4011.00,99.95
4010.00,99.95
4009.00,99.94
4008.00,99.94
4007.00,99.94
4006.00,99.94
4005.00,99.94
4004.00,99.94
4003.00,99.94
4002.00,99.94
4001.00,99.93
4000.00,99.93
3999.00,99.93
3998.00,99.94
3997.00,99.94
3996.00,99.94
3995.00,99.94
3994.00,99.94
3993.00,99.94
3992.00,99.94
3991.00,99.93
3990.00,99.93
3989.00,99.93
3988.00,99.94
3987.00,99.94
3986.00,99.95
3985.00,99.95
3984.00,99.95
3983.00,99.95
3982.00,99.95
3981.00,99.95
3980.00,99.94
3979.00,99.94
3978.00,99.93
3977.00,99.94
3976.00,99.94
3975.00,99.94
3974.00,99.95
3973.00,99.94
3972.00,99.94
3971.00,99.94
3970.00,99.94
3969.00,99.94
3968.00,99.94
3967.00,99.94
3966.00,99.94
3965.00,99.94
3964.00,99.94
3963.00,99.95
3962.00,99.95
3961.00,99.96
3960.00,99.96
3959.00,99.96
3958.00,99.96
3957.00,99.96
3956.00,99.96
3955.00,99.95
3954.00,99.95
3953.00,99.95
3952.00,99.94
3951.00,99.94
3950.00,99.93
3949.00,99.94
3948.00,99.94
3947.00,99.94
3946.00,99.95
3945.00,99.95
3944.00,99.96
3943.00,99.96
3942.00,99.96
3941.00,99.96
3940.00,99.96
3939.00,99.96
3938.00,99.96
3937.00,99.95
3936.00,99.95
3935.00,99.95
3934.00,99.95
3933.00,99.96
3932.00,99.96
3931.00,99.97
3930.00,99.97
3929.00,99.97
3928.00,99.97
3927.00,99.97
3926.00,99.98
3925.00,99.98
3924.00,99.98
3923.00,99.98
3922.00,99.98
3921.00,99.98
3920.00,99.97
3919.00,99.97
3918.00,99.98
3917.00,99.99
3916.00,100.00
3915.00,100.00
3914.00,100.01
3913.00,100.01
3912.00,100.01
3911.00,100.00
3910.00,100.00
3909.00,99.99
3908.00,99.98
3907.00,99.98
3906.00,99.98
3905.00,99.98
3904.00,99.98
3903.00,99.98
3902.00,99.98
3901.00,99.99
3900.00,100.00
3899.00,100.01
3898.00,100.01
3897.00,100.01
3896.00,100.00
3895.00,100.00
3894.00,100.00
3893.00,100.00
3892.00,100.01
3891.00,100.01
3890.00,100.01
3889.00,100.00
3888.00,100.01
3887.00,100.02
3886.00,100.02
3885.00,100.01
3884.00,99.99
3883.00,99.99
3882.00,100.01
3881.00,100.02
3880.00,100.03
3879.00,100.02
3878.00,100.02
3877.00,100.02
3876.00,100.03
3875.00,100.03
3874.00,100.02
3873.00,100.01
3872.00,100.01
3871.00,100.03
3870.00,100.03
3869.00,100.01
3868.00,100.00
3867.00,99.99
3866.00,100.00
3865.00,100.01
3864.00,100.01
3863.00,100.01
3862.00,100.02
3861.00,100.04
3860.00,100.04
3859.00,100.04
3858.00,100.04
3857.00,100.03
3856.00,100.04
3855.00,100.05
3854.00,100.04
3853.00,100.02
3852.00,100.01
3851.00,100.01
3850.00,100.02
3849.00,100.02
3848.00,100.02
3847.00,100.02
3846.00,100.03
3845.00,100.03
3844.00,100.03
3843.00,100.02
3842.00,100.01
3841.00,100.00
3840.00,100.01
3839.00,100.01
3838.00,100.01
3837.00,100.01
3836.00,100.02
3835.00,100.02
3834.00,100.03
3833.00,100.03
3832.00,100.04
3831.00,100.03
3830.00,100.03
3829.00,100.03
3828.00,100.03
3827.00,100.03
3826.00,100.03
3825.00,100.01
3824.00,100.00
3823.00,100.01
3822.00,100.01
3821.00,100.00
3820.00,99.98
3819.00,99.98
3818.00,100.00
3817.00,100.02
3816.00,100.03
3815.00,100.02
3814.00,100.02
3813.00,100.02
3812.00,100.02
3811.00,100.01
3810.00,100.00
3809.00,100.01
3808.00,100.02
3807.00,100.02
3806.00,100.01
3805.00,99.99
3804.00,99.99
3803.00,100.00
3802.00,100.00
3801.00,99.99
3800.00,99.97
3799.00,99.97
3798.00,99.98
3797.00,99.99
3796.00,99.98
3795.00,99.98
3794.00,99.98
3793.00,99.98
3792.00,99.99
