Created as New Dataset,Sample 306 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,100.96
4199.00,100.96
4198.00,100.96
4197.00,100.95
4196.00,100.95
4195.00,100.95
4194.00,100.96
4193.00,100.96
4192.00,100.96
4191.00,100.96
4190.00,100.96
4189.00,100.96
4188.00,100.96
4187.00,100.95
4186.00,100.95
4185.00,100.95
4184.00,100.95
4183.00,100.94
4182.00,100.94
4181.00,100.94
4180.00,100.94
4179.00,100.95
4178.00,100.95
4177.00,100.95
4176.00,100.96
4175.00,100.95
4174.00,100.95
4173.00,100.94
4172.00,100.93
4171.00,100.93
4170.00,100.93
4169.00,100.93
4168.00,100.93
4167.00,100.92
4166.00,100.91
4165.00,100.91
4164.00,100.90
4163.00,100.91
4162.00,100.91
4161.00,100.92
4160.00,100.92
4159.00,100.92
4158.00,100.91
4157.00,100.91
4156.00,100.90
4155.00,100.90
4154.00,100.91
4153.00,100.91
4152.00,100.91
4151.00,100.91
4150.00,100.90
4149.00,100.89
4148.00,100.89
4147.00,100.88
4146.00,100.88
4145.00,100.88
4144.00,100.88
4143.00,100.88
4142.00,100.88
4141.00,100.87
4140.00,100.87
4139.00,100.87
4138.00,100.87
4137.00,100.87
4136.00,100.86
4135.00,100.86
4134.00,100.86
4133.00,100.86
4132.00,100.86
4131.00,100.86
4130.00,100.87
4129.00,100.87
4128.00,100.86
4127.00,100.86
4126.00,100.85
4125.00,100.85
4124.00,100.85
4123.00,100.84
4122.00,100.84
4121.00,100.83
4120.00,100.82
4119.00,100.82
4118.00,100.82
4117.00,100.82
4116.00,100.81
4115.00,100.81
4114.00,100.80
4113.00,100.80
4112.00,100.80
4111.00,100.79
4110.00,100.79
4109.00,100.79
4108.00,100.79
4107.00,100.79
4106.00,100.79
4105.00,100.79
4104.00,100.79
4103.00,100.79
4102.00,100.79
4101.00,100.78
4100.00,100.78
4099.00,100.77
4098.00,100.76
4097.00,100.76
4096.00,100.76
4095.00,100.76
4094.00,100.76
4093.00,100.76
4092.00,100.76
4091.00,100.76
4090.00,100.76
4089.00,100.76
4088.00,100.75
4087.00,100.75
4086.00,100.75
4085.00,100.74
4084.00,100.73
4083.00,100.73
4082.00,100.73
4081.00,100.73
4080.00,100.73
4079.00,100.73
4078.00,100.73
4077.00,100.72
4076.00,100.72
4075.00,100.71
4074.00,100.70
4073.00,100.69
4072.00,100.68
4071.00,100.68
4070.00,100.68
4069.00,100.68
4068.00,100.68
4067.00,100.68
4066.00,100.67
4065.00,100.66
4064.00,100.65
4063.00,100.64
4062.00,100.64
4061.00,100.65
4060.00,100.65
4059.00,100.66
4058.00,100.65
4057.00,100.65
4056.00,100.64
4055.00,100.63
4054.00,100.62
4053.00,100.62
4052.00,100.62
4051.00,100.62
4050.00,100.62
4049.00,100.62
4048.00,100.62
4047.00,100.62
4046.00,100.62
4045.00,100.62
4044.00,100.61
4043.00,100.61
4042.00,100.61
4041.00,100.60
4040.00,100.60
4039.00,100.60
4038.00,100.59
4037.00,100.59
4036.00,100.59
4035.00,100.59
4034.00,100.59
4033.00,100.58
4032.00,100.57
4031.00,100.56
4030.00,100.55
4029.00,100.55
4028.00,100.55
4027.00,100.56
4026.00,100.56
4025.00,100.56
4024.00,100.55
4023.00,100.55
4022.00,100.54
4021.00,100.54
4020.00,100.55
4019.00,100.55
4018.00,100.55
4017.00,100.54
4016.00,100.54
4015.00,100.53
4014.00,100.53
4013.00,100.54
4012.00,100.54
4011.00,100.54
4010.00,100.54
4009.00,100.54
4008.00,100.55
4007.00,100.55
4006.00,100.55
4005.00,100.54
4004.00,100.54
4003.00,100.54
4002.00,100.53
4001.00,100.53
4000.00,100.53
3999.00,100.54
3998.00,100.54
3997.00,100.55
3996.00,100.55
3995.00,100.55
3994.00,100.55
3993.00,100.54
3992.00,100.54
3991.00,100.54
3990.00,100.54
3989.00,100.54
3988.00,100.54
3987.00,100.55
3986.00,100.55
3985.00,100.56
3984.00,100.56
3983.00,100.56
3982.00,100.56
3981.00,100.56
3980.00,100.55
3979.00,100.55
3978.00,100.55
3977.00,100.55
3976.00,100.56
3975.00,100.56
3974.00,100.57
3973.00,100.57
3972.00,100.58
3971.00,100.58
3970.00,100.57
3969.00,100.57
3968.00,100.56
3967.00,100.56
3966.00,100.56
3965.00,100.57
3964.00,100.57
3963.00,100.58
3962.00,100.58
3961.00,100.58
3960.00,100.58
3959.00,100.58
3958.00,100.58
3957.00,100.58
3956.00,100.58
3955.00,100.58
3954.00,100.58
3953.00,100.58
3952.00,100.59
3951.00,100.59
3950.00,100.60
3949.00,100.60
3948.00,100.61
3947.00,100.61
3946.00,100.60
3945.00,100.61
3944.00,100.61
3943.00,100.62
3942.00,100.62
3941.00,100.62
3940.00,100.61
3939.00,100.61
3938.00,100.61
3937.00,100.60
3936.00,100.60
3935.00,100.60
3934.00,100.61
3933.00,100.61
3932.00,100.62
3931.00,100.62
3930.00,100.63
3929.00,100.62
3928.00,100.62
3927.00,100.62
3926.00,100.63
3925.00,100.65
3924.00,100.65
3923.00,100.66
3922.00,100.66
3921.00,100.65
3920.00,100.65
3919.00,100.65
3918.00,100.65
3917.00,100.65
3916.00,100.66
3915.00,100.66
3914.00,100.65
3913.00,100.65
3912.00,100.65
3911.00,100.65
3910.00,100.65
3909.00,100.66
3908.00,100.66
3907.00,100.67
3906.00,100.67
3905.00,100.68
3904.00,100.69
3903.00,100.69
3902.00,100.68
3901.00,100.68
3900.00,100.68
3899.00,100.69
3898.00,100.69
3897.00,100.69
3896.00,100.70
3895.00,100.70
3894.00,100.69
3893.00,100.69
3892.00,100.68
3891.00,100.69
3890.00,100.68
3889.00,100.67
3888.00,100.66
3887.00,100.67
3886.00,100.69
3885.00,100.70
3884.00,100.70
3883.00,100.70
3882.00,100.70
3881.00,100.71
3880.00,100.72
3879.00,100.72
3878.00,100.71
3877.00,100.69
3876.00,100.69
3875.00,100.69
3874.00,100.70
3873.00,100.70
3872.00,100.69
3871.00,100.69
3870.00,100.71
3869.00,100.71
3868.00,100.70
3867.00,100.69
3866.00,100.69
3865.00,100.70
3864.00,100.71
3863.00,100.71
3862.00,100.71
3861.00,100.71
3860.00,100.71
3859.00,100.71
3858.00,100.72
3857.00,100.72
3856.00,100.71
3855.00,100.70
3854.00,100.70
3853.00,100.71
3852.00,100.70
3851.00,100.69
3850.00,100.69
3849.00,100.70
3848.00,100.70
3847.00,100.70
3846.00,100.71
3845.00,100.71
3844.00,100.72
3843.00,100.72
3842.00,100.72
3841.00,100.71
3840.00,100.71
3839.00,100.71
3838.00,100.71
3837.00,100.72
3836.00,100.71
3835.00,100.71
3834.00,100.71
3833.00,100.70
3832.00,100.70
3831.00,100.70
3830.00,100.70
3829.00,100.70
3828.00,100.70
3827.00,100.71
3826.00,100.72
3825.00,100.72
3824.00,100.71
3823.00,100.69
3822.00,100.69
3821.00,100.69
3820.00,100.69
3819.00,100.67
3818.00,100.66
3817.00,100.66
3816.00,100.68
3815.00,100.68
3814.00,100.68
3813.00,100.68
3812.00,100.69
