Created as New Dataset,Sample 308 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,100.75
4199.00,100.76
4198.00,100.75
4197.00,100.75
4196.00,100.74
4195.00,100.74
4194.00,100.74
4193.00,100.74
4192.00,100.75
4191.00,100.75
4190.00,100.75
4189.00,100.75
4188.00,100.76
4187.00,100.76
4186.00,100.76
4185.00,100.76
4184.00,100.76
4183.00,100.75
4182.00,100.75
4181.00,100.75
4180.00,100.75
4179.00,100.75
4178.00,100.75
4177.00,100.76
4176.00,100.76
4175.00,100.76
4174.00,100.75
4173.00,100.74
4172.00,100.74
4171.00,100.74
4170.00,100.75
4169.00,100.75
4168.00,100.75
4167.00,100.75
4166.00,100.74
4165.00,100.74
4164.00,100.73
4163.00,100.73
4162.00,100.74
4161.00,100.74
4160.00,100.75
4159.00,100.75
4158.00,100.75
4157.00,100.74
4156.00,100.74
4155.00,100.73
4154.00,100.73
4153.00,100.73
4152.00,100.73
4151.00,100.73
4150.00,100.73
4149.00,100.73
4148.00,100.72
4147.00,100.72
4146.00,100.71
4145.00,100.71
4144.00,100.71
4143.00,100.71
4142.00,100.71
4141.00,100.71
4140.00,100.71
4139.00,100.71
4138.00,100.72
4137.00,100.72
4136.00,100.72
4135.00,100.73
4134.00,100.73
4133.00,100.73
4132.00,100.74
4131.00,100.74
4130.00,100.74
4129.00,100.73
4128.00,100.73
4127.00,100.72
4126.00,100.72
4125.00,100.72
4124.00,100.72
4123.00,100.72
4122.00,100.72
4121.00,100.72
4120.00,100.72
4119.00,100.72
4118.00,100.72
4117.00,100.72
4116.00,100.72
4115.00,100.71
4114.00,100.71
4113.00,100.70
4112.00,100.70
4111.00,100.69
4110.00,100.69
4109.00,100.70
4108.00,100.70
4107.00,100.71
4106.00,100.71
4105.00,100.70
4104.00,100.69
4103.00,100.69
4102.00,100.68
4101.00,100.68
4100.00,100.69
4099.00,100.69
4098.00,100.70
4097.00,100.70
4096.00,100.70
4095.00,100.70
4094.00,100.71
4093.00,100.71
4092.00,100.70
4091.00,100.70
4090.00,100.70
4089.00,100.69
4088.00,100.69
4087.00,100.69
4086.00,100.69
4085.00,100.69
4084.00,100.69
4083.00,100.69
4082.00,100.69
4081.00,100.70
4080.00,100.70
4079.00,100.70
4078.00,100.70
4077.00,100.70
4076.00,100.70
4075.00,100.70
4074.00,100.70
4073.00,100.69
4072.00,100.69
4071.00,100.69
4070.00,100.69
4069.00,100.68
4068.00,100.68
4067.00,100.68
4066.00,100.68
4065.00,100.68
4064.00,100.68
4063.00,100.68
4062.00,100.68
4061.00,100.68
4060.00,100.68
4059.00,100.68
4058.00,100.67
4057.00,100.67
4056.00,100.67
4055.00,100.67
4054.00,100.67
4053.00,100.67
4052.00,100.66
4051.00,100.66
4050.00,100.66
4049.00,100.67
4048.00,100.67
4047.00,100.68
4046.00,100.69
4045.00,100.69
4044.00,100.69
4043.00,100.68
4042.00,100.67
4041.00,100.67
4040.00,100.67
4039.00,100.67
4038.00,100.67
4037.00,100.67
4036.00,100.67
4035.00,100.67
4034.00,100.67
4033.00,100.67
4032.00,100.67
4031.00,100.66
4030.00,100.66
4029.00,100.65
4028.00,100.65
4027.00,100.65
4026.00,100.66
4025.00,100.66
4024.00,100.67
4023.00,100.67
4022.00,100.67
4021.00,100.67
4020.00,100.67
4019.00,100.66
4018.00,100.66
4017.00,100.65
4016.00,100.65
4015.00,100.65
4014.00,100.65
4013.00,100.66
4012.00,100.66
4011.00,100.66
4010.00,100.67
4009.00,100.67
4008.00,100.66
4007.00,100.66
4006.00,100.66
4005.00,100.65
4004.00,100.65
4003.00,100.65
4002.00,100.65
4001.00,100.66
4000.00,100.66
3999.00,100.66
3998.00,100.67
3997.00,100.67
3996.00,100.66
3995.00,100.66
3994.00,100.66
3993.00,100.65
3992.00,100.65
3991.00,100.65
3990.00,100.64
3989.00,100.64
3988.00,100.64
3987.00,100.64
3986.00,100.65
3985.00,100.65
3984.00,100.66
3983.00,100.66
3982.00,100.66
3981.00,100.66
3980.00,100.65
3979.00,100.65
3978.00,100.65
3977.00,100.65
3976.00,100.65
3975.00,100.66
3974.00,100.66
3973.00,100.65
3972.00,100.65
3971.00,100.64
3970.00,100.64
3969.00,100.64
3968.00,100.64
3967.00,100.64
3966.00,100.64
3965.00,100.64
3964.00,100.63
3963.00,100.63
3962.00,100.63
3961.00,100.63
3960.00,100.63
3959.00,100.64
3958.00,100.64
3957.00,100.64
3956.00,100.65
3955.00,100.65
3954.00,100.65
3953.00,100.65
3952.00,100.65
3951.00,100.63
3950.00,100.62
3949.00,100.60
3948.00,100.58
3947.00,100.58
3946.00,100.58
3945.00,100.60
3944.00,100.62
3943.00,100.64
3942.00,100.65
3941.00,100.64
3940.00,100.63
3939.00,100.62
3938.00,100.62
3937.00,100.61
3936.00,100.60
3935.00,100.58
3934.00,100.56
3933.00,100.55
3932.00,100.57
3931.00,100.59
3930.00,100.61
3929.00,100.61
3928.00,100.62
3927.00,100.63
3926.00,100.65
3925.00,100.66
3924.00,100.65
3923.00,100.62
3922.00,100.58
3921.00,100.54
3920.00,100.51
3919.00,100.50
3918.00,100.50
3917.00,100.52
3916.00,100.54
3915.00,100.56
3914.00,100.58
3913.00,100.59
3912.00,100.60
3911.00,100.61
3910.00,100.62
3909.00,100.63
3908.00,100.64
3907.00,100.63
3906.00,100.61
3905.00,100.55
3904.00,100.47
3903.00,100.39
3902.00,100.35
3901.00,100.35
3900.00,100.39
3899.00,100.45
3898.00,100.49
3897.00,100.51
3896.00,100.52
3895.00,100.53
3894.00,100.55
3893.00,100.57
3892.00,100.58
3891.00,100.57
3890.00,100.54
3889.00,100.49
3888.00,100.44
3887.00,100.43
3886.00,100.47
