Created as New Dataset,Sample 303 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,100.58
4199.00,100.58
4198.00,100.57
4197.00,100.57
4196.00,100.56
4195.00,100.56
4194.00,100.57
4193.00,100.57
4192.00,100.58
4191.00,100.59
4190.00,100.59
4189.00,100.59
4188.00,100.58
4187.00,100.58
4186.00,100.58
4185.00,100.58
4184.00,100.58
4183.00,100.58
4182.00,100.58
4181.00,100.58
4180.00,100.58
4179.00,100.58
4178.00,100.58
4177.00,100.58
4176.00,100.59
4175.00,100.59
4174.00,100.59
4173.00,100.58
4172.00,100.58
4171.00,100.58
4170.00,100.59
4169.00,100.59
4168.00,100.59
4167.00,100.59
4166.00,100.58
4165.00,100.58
4164.00,100.58
4163.00,100.58
4162.00,100.58
4161.00,100.58
4160.00,100.58
4159.00,100.58
4158.00,100.58
4157.00,100.58
4156.00,100.58
4155.00,100.58
4154.00,100.58
4153.00,100.58
4152.00,100.57
4151.00,100.58
4150.00,100.58
4149.00,100.57
4148.00,100.57
4147.00,100.57
4146.00,100.57
4145.00,100.57
4144.00,100.57
4143.00,100.57
4142.00,100.56
4141.00,100.55
4140.00,100.54
4139.00,100.54
4138.00,100.54
4137.00,100.55
4136.00,100.55
4135.00,100.56
4134.00,100.56
4133.00,100.57
4132.00,100.57
4131.00,100.58
4130.00,100.58
4129.00,100.58
4128.00,100.57
4127.00,100.57
4126.00,100.56
4125.00,100.56
4124.00,100.56
4123.00,100.56
4122.00,100.56
4121.00,100.57
4120.00,100.57
4119.00,100.56
4118.00,100.56
4117.00,100.56
4116.00,100.56
4115.00,100.56
4114.00,100.56
4113.00,100.55
4112.00,100.55
4111.00,100.55
4110.00,100.55
4109.00,100.55
4108.00,100.55
4107.00,100.55
4106.00,100.55
4105.00,100.55
4104.00,100.55
4103.00,100.55
4102.00,100.55
4101.00,100.55
4100.00,100.55
4099.00,100.55
4098.00,100.54
4097.00,100.54
4096.00,100.55
4095.00,100.55
4094.00,100.56
4093.00,100.56
4092.00,100.56
4091.00,100.56
4090.00,100.55
4089.00,100.55
4088.00,100.54
4087.00,100.54
4086.00,100.54
4085.00,100.55
4084.00,100.55
4083.00,100.55
4082.00,100.56
4081.00,100.56
4080.00,100.56
4079.00,100.56
4078.00,100.55
4077.00,100.55
4076.00,100.55
4075.00,100.55
4074.00,100.55
4073.00,100.55
4072.00,100.55
4071.00,100.55
4070.00,100.56
4069.00,100.55
4068.00,100.55
4067.00,100.54
4066.00,100.54
4065.00,100.54
4064.00,100.54
4063.00,100.54
4062.00,100.54
4061.00,100.54
4060.00,100.54
4059.00,100.55
4058.00,100.55
4057.00,100.55
4056.00,100.55
4055.00,100.55
4054.00,100.55
4053.00,100.54
4052.00,100.54
4051.00,100.54
4050.00,100.53
4049.00,100.53
4048.00,100.54
4047.00,100.54
4046.00,100.54
4045.00,100.54
4044.00,100.54
4043.00,100.54
4042.00,100.54
4041.00,100.54
4040.00,100.54
4039.00,100.54
4038.00,100.54
4037.00,100.54
4036.00,100.54
4035.00,100.54
4034.00,100.53
4033.00,100.53
4032.00,100.53
4031.00,100.53
4030.00,100.53
4029.00,100.53
4028.00,100.53
4027.00,100.53
4026.00,100.53
4025.00,100.53
4024.00,100.53
4023.00,100.52
4022.00,100.52
4021.00,100.53
4020.00,100.53
4019.00,100.53
4018.00,100.53
4017.00,100.53
4016.00,100.53
4015.00,100.53
4014.00,100.53
4013.00,100.53
4012.00,100.53
4011.00,100.54
4010.00,100.54
4009.00,100.54
4008.00,100.53
4007.00,100.53
4006.00,100.53
4005.00,100.53
4004.00,100.53
4003.00,100.53
4002.00,100.53
4001.00,100.53
4000.00,100.53
3999.00,100.53
3998.00,100.53
3997.00,100.53
3996.00,100.53
3995.00,100.53
3994.00,100.53
3993.00,100.53
3992.00,100.52
3991.00,100.52
3990.00,100.52
3989.00,100.53
3988.00,100.53
3987.00,100.53
3986.00,100.53
3985.00,100.54
3984.00,100.54
3983.00,100.54
3982.00,100.53
3981.00,100.53
3980.00,100.53
3979.00,100.53
3978.00,100.53
3977.00,100.53
3976.00,100.53
3975.00,100.53
3974.00,100.54
3973.00,100.54
3972.00,100.53
3971.00,100.53
3970.00,100.53
3969.00,100.52
3968.00,100.52
3967.00,100.52
3966.00,100.52
3965.00,100.52
3964.00,100.53
3963.00,100.53
3962.00,100.53
3961.00,100.52
3960.00,100.52
3959.00,100.52
3958.00,100.52
3957.00,100.52
3956.00,100.52
3955.00,100.52
3954.00,100.52
3953.00,100.52
3952.00,100.52
3951.00,100.52
3950.00,100.52
3949.00,100.52
3948.00,100.52
3947.00,100.52
3946.00,100.52
3945.00,100.53
3944.00,100.53
3943.00,100.54
3942.00,100.54
3941.00,100.53
3940.00,100.53
3939.00,100.52
3938.00,100.52
3937.00,100.52
3936.00,100.52
3935.00,100.52
3934.00,100.52
3933.00,100.52
3932.00,100.52
3931.00,100.52
3930.00,100.52
3929.00,100.52
3928.00,100.52
3927.00,100.52
3926.00,100.52
3925.00,100.53
3924.00,100.53
3923.00,100.53
3922.00,100.53
3921.00,100.53
3920.00,100.53
3919.00,100.52
3918.00,100.52
3917.00,100.53
3916.00,100.53
3915.00,100.53
3914.00,100.52
3913.00,100.52
3912.00,100.51
3911.00,100.51
3910.00,100.51
3909.00,100.52
3908.00,100.52
3907.00,100.53
3906.00,100.53
3905.00,100.52
3904.00,100.52
3903.00,100.52
3902.00,100.52
3901.00,100.52
3900.00,100.52
3899.00,100.52
3898.00,100.52
3897.00,100.51
3896.00,100.51
3895.00,100.51
3894.00,100.52
3893.00,100.52
3892.00,100.53
3891.00,100.54
3890.00,100.54
3889.00,100.54
3888.00,100.53
3887.00,100.53
3886.00,100.53
3885.00,100.53
3884.00,100.53
3883.00,100.53
3882.00,100.53
3881.00,100.54
3880.00,100.54
3879.00,100.54
3878.00,100.53
3877.00,100.53
3876.00,100.53
3875.00,100.53
3874.00,100.52
3873.00,100.51
3872.00,100.51
3871.00,100.51
3870.00,100.51
3869.00,100.51
3868.00,100.51
3867.00,100.52
3866.00,100.53
3865.00,100.53
3864.00,100.53
3863.00,100.52
3862.00,100.52
3861.00,100.52
3860.00,100.52
3859.00,100.52
3858.00,100.52
3857.00,100.52
3856.00,100.52
3855.00,100.51
3854.00,100.52
3853.00,100.52
3852.00,100.51
3851.00,100.51
3850.00,100.51
3849.00,100.52
3848.00,100.52
3847.00,100.52
3846.00,100.51
3845.00,100.51
3844.00,100.51
3843.00,100.50
3842.00,100.50
3841.00,100.50
3840.00,100.50
3839.00,100.50
3838.00,100.51
3837.00,100.51
3836.00,100.52
3835.00,100.52
3834.00,100.52
3833.00,100.53
3832.00,100.53
3831.00,100.53
3830.00,100.52
3829.00,100.51
3828.00,100.51
3827.00,100.51
3826.00,100.50
3825.00,100.50
3824.00,100.50
3823.00,100.50
3822.00,100.50
3821.00,100.50
3820.00,100.50
3819.00,100.50
3818.00,100.50
3817.00,100.51
3816.00,100.52
3815.00,100.52
3814.00,100.51
3813.00,100.50
3812.00,100.51
3811.00,100.51
3810.00,100.51
3809.00,100.51
3808.00,100.51
3807.00,100.52
3806.00,100.52
3805.00,100.51
3804.00,100.52
3803.00,100.52
3802.00,100.52
3801.00,100.52
3800.00,100.51
3799.00,100.51
3798.00,100.52
3797.00,100.52
3796.00,100.52
3795.00,100.52
3794.00,100.52
3793.00,100.52
3792.00,100.52
3791.00,100.52
3790.00,100.51
3789.00,100.51
3788.00,100.52
3787.00,100.52
3786.00,100.53
3785.00,100.53
3784.00,100.53
3783.00,100.53
3782.00,100.53
3781.00,100.53
3780.00,100.53
3779.00,100.53
3778.00,100.53
3777.00,100.53
3776.00,100.53
3775.00,100.53
3774.00,100.53
3773.00,100.53
3772.00,100.52
3771.00,100.53
3770.00,100.53
3769.00,100.53
3768.00,100.53
3767.00,100.53
3766.00,100.52
3765.00,100.52
3764.00,100.52
3763.00,100.52
3762.00,100.52
3761.00,100.53
3760.00,100.52
3759.00,100.52
3758.00,100.52
3757.00,100.52
3756.00,100.52
3755.00,100.52
3754.00,100.52
3753.00,100.52
3752.00,100.51
3751.00,100.51
3750.00,100.52
3749.00,100.52
3748.00,100.52
3747.00,100.52
3746.00,100.52
3745.00,100.53
3744.00,100.53
3743.00,100.53
3742.00,100.52
3741.00,100.53
3740.00,100.53
3739.00,100.52
3738.00,100.52
3737.00,100.51
3736.00,100.51
3735.00,100.51
3734.00,100.52
3733.00,100.53
3732.00,100.54
3731.00,100.54
3730.00,100.54
3729.00,100.54
3728.00,100.54
3727.00,100.54
3726.00,100.54
3725.00,100.54
3724.00,100.53
3723.00,100.53
3722.00,100.53
3721.00,100.53
3720.00,100.53
3719.00,100.53
3718.00,100.53
3717.00,100.53
3716.00,100.53
3715.00,100.52
3714.00,100.53
3713.00,100.53
3712.00,100.53
3711.00,100.53
3710.00,100.53
3709.00,100.52
3708.00,100.52
3707.00,100.52
3706.00,100.51
3705.00,100.51
3704.00,100.52
3703.00,100.52
3702.00,100.52
3701.00,100.52
3700.00,100.52
3699.00,100.51
3698.00,100.51
3697.00,100.50
3696.00,100.50
3695.00,100.50
3694.00,100.50
3693.00,100.50
3692.00,100.50
3691.00,100.50
3690.00,100.50
3689.00,100.50
3688.00,100.50
3687.00,100.50
3686.00,100.50
3685.00,100.50
3684.00,100.50
3683.00,100.50
3682.00,100.50
3681.00,100.50
3680.00,100.50
3679.00,100.49
3678.00,100.47
3677.00,100.47
3676.00,100.48
3675.00,100.49
3674.00,100.50
3673.00,100.51
3672.00,100.51
3671.00,100.52
3670.00,100.51
3669.00,100.51
3668.00,100.51
3667.00,100.51
3666.00,100.51
3665.00,100.51
3664.00,100.51
3663.00,100.51
3662.00,100.52
3661.00,100.52
3660.00,100.52
3659.00,100.52
3658.00,100.52
3657.00,100.52
3656.00,100.52
3655.00,100.52
3654.00,100.52
3653.00,100.52
3652.00,100.53
3651.00,100.52
3650.00,100.52
3649.00,100.52
3648.00,100.53
3647.00,100.53
3646.00,100.53
3645.00,100.53
3644.00,100.53
3643.00,100.52
3642.00,100.52
3641.00,100.51
3640.00,100.51
3639.00,100.51
3638.00,100.51
3637.00,100.52
3636.00,100.52
3635.00,100.53
3634.00,100.53
3633.00,100.53
3632.00,100.53
3631.00,100.53
3630.00,100.54
3629.00,100.55
3628.00,100.55
3627.00,100.55
3626.00,100.55
3625.00,100.55
3624.00,100.55
3623.00,100.54
3622.00,100.54
3621.00,100.55
3620.00,100.55
3619.00,100.56
3618.00,100.56
3617.00,100.55
3616.00,100.55
3615.00,100.55
3614.00,100.55
3613.00,100.56
3612.00,100.56
3611.00,100.56
3610.00,100.56
3609.00,100.56
3608.00,100.56
3607.00,100.55
3606.00,100.54
3605.00,100.54
3604.00,100.53
3603.00,100.53
3602.00,100.53
3601.00,100.53
3600.00,100.53
3599.00,100.54
3598.00,100.55
3597.00,100.55
3596.00,100.55
3595.00,100.55
3594.00,100.55
3593.00,100.55
3592.00,100.55
3591.00,100.54
3590.00,100.54
3589.00,100.54
3588.00,100.55
3587.00,100.56
3586.00,100.57
3585.00,100.57
3584.00,100.56
3583.00,100.55
3582.00,100.55
3581.00,100.55
3580.00,100.55
3579.00,100.55
3578.00,100.55
3577.00,100.55
3576.00,100.54
3575.00,100.54
3574.00,100.54
3573.00,100.54
3572.00,100.55
3571.00,100.55
3570.00,100.55
3569.00,100.55
3568.00,100.56
3567.00,100.56
3566.00,100.56
3565.00,100.56
3564.00,100.55
3563.00,100.55
3562.00,100.54
3561.00,100.54
3560.00,100.54
3559.00,100.54
3558.00,100.55
3557.00,100.55
3556.00,100.55
3555.00,100.54
3554.00,100.54
3553.00,100.54
3552.00,100.54
3551.00,100.54
3550.00,100.54
3549.00,100.54
3548.00,100.54
3547.00,100.55
3546.00,100.56
3545.00,100.56
3544.00,100.56
3543.00,100.55
3542.00,100.55
3541.00,100.54
3540.00,100.54
3539.00,100.54
3538.00,100.54
3537.00,100.54
3536.00,100.54
3535.00,100.55
3534.00,100.55
3533.00,100.56
3532.00,100.56
3531.00,100.55
3530.00,100.55
3529.00,100.55
3528.00,100.55
3527.00,100.55
3526.00,100.55
3525.00,100.54
3524.00,100.54
3523.00,100.54
3522.00,100.54
3521.00,100.54
3520.00,100.55
3519.00,100.55
3518.00,100.55
3517.00,100.55
3516.00,100.55
3515.00,100.55
3514.00,100.54
3513.00,100.54
3512.00,100.54
3511.00,100.54
3510.00,100.54
3509.00,100.54
3508.00,100.54
3507.00,100.54
3506.00,100.54
3505.00,100.54
3504.00,100.54
3503.00,100.55
3502.00,100.55
3501.00,100.55
3500.00,100.55
3499.00,100.54
3498.00,100.54
3497.00,100.54
3496.00,100.55
3495.00,100.55
3494.00,100.55
3493.00,100.55
3492.00,100.55
3491.00,100.54
3490.00,100.54
3489.00,100.54
3488.00,100.53
3487.00,100.53
3486.00,100.53
3485.00,100.54
3484.00,100.54
3483.00,100.54
3482.00,100.54
3481.00,100.54
3480.00,100.54
3479.00,100.54
3478.00,100.55
3477.00,100.55
3476.00,100.55
3475.00,100.54
3474.00,100.54
3473.00,100.54
3472.00,100.54
3471.00,100.54
3470.00,100.54
3469.00,100.54
3468.00,100.54
3467.00,100.54
3466.00,100.54
3465.00,100.54
3464.00,100.55
3463.00,100.55
3462.00,100.55
3461.00,100.55
3460.00,100.54
3459.00,100.54
3458.00,100.54
3457.00,100.54
3456.00,100.54
3455.00,100.54
3454.00,100.54
3453.00,100.54
3452.00,100.53
3451.00,100.53
3450.00,100.53
3449.00,100.53
3448.00,100.53
3447.00,100.54
3446.00,100.54
3445.00,100.53
3444.00,100.54
3443.00,100.54
3442.00,100.54
3441.00,100.54
3440.00,100.55
3439.00,100.55
3438.00,100.55
3437.00,100.54
3436.00,100.54
3435.00,100.53
3434.00,100.53
3433.00,100.53
3432.00,100.53
3431.00,100.53
3430.00,100.54
3429.00,100.54
3428.00,100.54
3427.00,100.55
3426.00,100.55
3425.00,100.55
3424.00,100.54
3423.00,100.53
3422.00,100.53
3421.00,100.52
3420.00,100.52
3419.00,100.52
3418.00,100.53
3417.00,100.53
3416.00,100.53
3415.00,100.52
3414.00,100.52
3413.00,100.52
3412.00,100.53
3411.00,100.53
3410.00,100.53
3409.00,100.53
3408.00,100.54
3407.00,100.54
3406.00,100.54
3405.00,100.54
3404.00,100.54
3403.00,100.53
3402.00,100.53
3401.00,100.52
3400.00,100.52
3399.00,100.53
3398.00,100.53
3397.00,100.53
3396.00,100.53
3395.00,100.53
3394.00,100.53
3393.00,100.53
3392.00,100.53
3391.00,100.53
3390.00,100.53
3389.00,100.53
3388.00,100.53
3387.00,100.53
3386.00,100.53
3385.00,100.53
3384.00,100.53
3383.00,100.53
3382.00,100.53
3381.00,100.53
3380.00,100.53
3379.00,100.53
3378.00,100.54
3377.00,100.54
3376.00,100.53
3375.00,100.53
3374.00,100.53
3373.00,100.53
3372.00,100.53
3371.00,100.53
3370.00,100.53
3369.00,100.53
3368.00,100.53
3367.00,100.53
3366.00,100.54
3365.00,100.54
3364.00,100.54
3363.00,100.54
3362.00,100.53
3361.00,100.53
3360.00,100.53
3359.00,100.53
3358.00,100.53
3357.00,100.53
3356.00,100.53
3355.00,100.53
3354.00,100.53
3353.00,100.54
3352.00,100.54
3351.00,100.53
3350.00,100.53
3349.00,100.52
3348.00,100.53
3347.00,100.53
3346.00,100.53
3345.00,100.53
3344.00,100.53
3343.00,100.53
3342.00,100.53
3341.00,100.53
3340.00,100.53
3339.00,100.53
3338.00,100.53
3337.00,100.53
3336.00,100.53
3335.00,100.53
3334.00,100.53
3333.00,100.53
3332.00,100.53
3331.00,100.53
3330.00,100.53
3329.00,100.53
3328.00,100.53
3327.00,100.53
3326.00,100.53
3325.00,100.53
3324.00,100.52
3323.00,100.52
3322.00,100.52
3321.00,100.52
3320.00,100.52
3319.00,100.52
3318.00,100.52
3317.00,100.52
3316.00,100.52
3315.00,100.52
3314.00,100.52
3313.00,100.51
3312.00,100.51
3311.00,100.51
3310.00,100.51
3309.00,100.51
3308.00,100.51
3307.00,100.52
3306.00,100.52
3305.00,100.52
3304.00,100.52
3303.00,100.52
3302.00,100.52
3301.00,100.52
3300.00,100.53
3299.00,100.52
3298.00,100.52
3297.00,100.52
3296.00,100.52
3295.00,100.52
3294.00,100.52
3293.00,100.53
3292.00,100.53
3291.00,100.53
3290.00,100.53
3289.00,100.52
3288.00,100.52
3287.00,100.52
3286.00,100.52
3285.00,100.52
3284.00,100.52
3283.00,100.52
3282.00,100.52
3281.00,100.52
3280.00,100.52
3279.00,100.51
3278.00,100.51
3277.00,100.52
3276.00,100.52
3275.00,100.52
3274.00,100.52
3273.00,100.52
3272.00,100.52
3271.00,100.52
3270.00,100.51
3269.00,100.51
3268.00,100.52
3267.00,100.52
3266.00,100.52
3265.00,100.52
3264.00,100.52
3263.00,100.52
3262.00,100.51
3261.00,100.51
3260.00,100.51
3259.00,100.51
3258.00,100.51
3257.00,100.51
3256.00,100.51
