Created as New Dataset,Sample 302 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,99.90
4199.00,99.89
4198.00,99.89
4197.00,99.88
4196.00,99.88
4195.00,99.89
4194.00,99.89
4193.00,99.90
4192.00,99.90
4191.00,99.90
4190.00,99.89
4189.00,99.89
4188.00,99.89
4187.00,99.89
4186.00,99.89
4185.00,99.89
4184.00,99.89
4183.00,99.89
4182.00,99.88
4181.00,99.88
4180.00,99.88
4179.00,99.88
4178.00,99.89
4177.00,99.89
4176.00,99.90
4175.00,99.91
4174.00,99.91
4173.00,99.90
4172.00,99.89
4171.00,99.89
4170.00,99.88
4169.00,99.88
4168.00,99.88
4167.00,99.88
4166.00,99.87
4165.00,99.87
4164.00,99.86
4163.00,99.86
4162.00,99.86
4161.00,99.86
4160.00,99.86
4159.00,99.86
4158.00,99.86
4157.00,99.86
4156.00,99.86
4155.00,99.85
4154.00,99.85
4153.00,99.85
4152.00,99.85
4151.00,99.85
4150.00,99.85
4149.00,99.85
4148.00,99.85
4147.00,99.85
4146.00,99.85
4145.00,99.85
4144.00,99.85
4143.00,99.84
4142.00,99.84
4141.00,99.83
4140.00,99.82
4139.00,99.82
4138.00,99.82
4137.00,99.82
4136.00,99.82
4135.00,99.82
4134.00,99.82
4133.00,99.82
4132.00,99.83
4131.00,99.83
4130.00,99.83
4129.00,99.83
4128.00,99.82
4127.00,99.81
4126.00,99.81
4125.00,99.80
4124.00,99.80
4123.00,99.80
4122.00,99.80
4121.00,99.80
4120.00,99.80
4119.00,99.80
4118.00,99.79
4117.00,99.79
4116.00,99.79
4115.00,99.78
4114.00,99.78
4113.00,99.78
4112.00,99.78
4111.00,99.78
4110.00,99.77
4109.00,99.77
4108.00,99.77
4107.00,99.77
4106.00,99.77
4105.00,99.77
4104.00,99.78
4103.00,99.77
4102.00,99.77
4101.00,99.76
4100.00,99.75
4099.00,99.74
4098.00,99.74
4097.00,99.73
4096.00,99.73
4095.00,99.73
4094.00,99.73
4093.00,99.73
4092.00,99.73
4091.00,99.73
4090.00,99.73
4089.00,99.73
4088.00,99.73
4087.00,99.72
4086.00,99.72
4085.00,99.72
4084.00,99.72
4083.00,99.72
4082.00,99.72
4081.00,99.71
4080.00,99.71
4079.00,99.71
4078.00,99.71
4077.00,99.71
4076.00,99.71
4075.00,99.70
4074.00,99.69
4073.00,99.68
4072.00,99.68
4071.00,99.69
4070.00,99.69
4069.00,99.69
4068.00,99.69
4067.00,99.68
4066.00,99.67
4065.00,99.67
4064.00,99.66
4063.00,99.66
4062.00,99.66
4061.00,99.66
4060.00,99.65
4059.00,99.65
4058.00,99.64
