Created as New Dataset,Sample 304 By iruser Date Friday, March 13 2026
cm-1,%T
4200.00,100.25
4199.00,100.24
4198.00,100.24
4197.00,100.23
4196.00,100.23
4195.00,100.22
4194.00,100.22
4193.00,100.22
4192.00,100.23
4191.00,100.23
4190.00,100.23
4189.00,100.23
4188.00,100.23
4187.00,100.23
4186.00,100.23
4185.00,100.23
4184.00,100.23
4183.00,100.23
4182.00,100.23
4181.00,100.23
4180.00,100.23
4179.00,100.23
4178.00,100.23
4177.00,100.24
4176.00,100.24
4175.00,100.23
4174.00,100.22
4173.00,100.21
4172.00,100.21
4171.00,100.21
4170.00,100.21
4169.00,100.21
4168.00,100.22
4167.00,100.21
4166.00,100.21
4165.00,100.20
4164.00,100.20
4163.00,100.19
4162.00,100.19
4161.00,100.20
4160.00,100.20
4159.00,100.20
4158.00,100.20
4157.00,100.19
4156.00,100.18
4155.00,100.17
4154.00,100.17
4153.00,100.17
4152.00,100.18
4151.00,100.18
4150.00,100.19
4149.00,100.19
4148.00,100.18
4147.00,100.18
4146.00,100.18
4145.00,100.17
4144.00,100.17
4143.00,100.16
4142.00,100.16
4141.00,100.15
4140.00,100.15
4139.00,100.15
4138.00,100.15
4137.00,100.15
4136.00,100.15
4135.00,100.15
4134.00,100.15
4133.00,100.15
4132.00,100.15
4131.00,100.16
4130.00,100.15
4129.00,100.15
4128.00,100.15
4127.00,100.15
4126.00,100.14
4125.00,100.14
4124.00,100.14
4123.00,100.14
4122.00,100.14
4121.00,100.13
4120.00,100.13
4119.00,100.13
4118.00,100.12
4117.00,100.11
4116.00,100.11
4115.00,100.10
4114.00,100.10
4113.00,100.10
4112.00,100.10
4111.00,100.10
4110.00,100.10
4109.00,100.10
4108.00,100.09
4107.00,100.09
4106.00,100.09
4105.00,100.09
4104.00,100.09
4103.00,100.08
4102.00,100.08
4101.00,100.08
4100.00,100.08
4099.00,100.07
4098.00,100.07
4097.00,100.07
4096.00,100.07
4095.00,100.07
4094.00,100.08
4093.00,100.08
4092.00,100.08
4091.00,100.07
4090.00,100.07
4089.00,100.06
4088.00,100.06
4087.00,100.05
4086.00,100.05
4085.00,100.04
4084.00,100.03
4083.00,100.03
4082.00,100.03
4081.00,100.03
4080.00,100.03
4079.00,100.03
4078.00,100.02
4077.00,100.01
4076.00,100.00
4075.00,100.00
4074.00,100.00
4073.00,100.00
4072.00,100.00
4071.00,100.00
4070.00,100.00
4069.00,100.00
4068.00,99.99
4067.00,99.99
4066.00,99.98
4065.00,99.98
4064.00,99.98
4063.00,99.97
4062.00,99.97
4061.00,99.97
4060.00,99.97
4059.00,99.97
4058.00,99.97
4057.00,99.96
4056.00,99.96
4055.00,99.96
4054.00,99.95
4053.00,99.95
4052.00,99.95
4051.00,99.94
4050.00,99.94
4049.00,99.94
4048.00,99.94
4047.00,99.93
4046.00,99.93
4045.00,99.93
4044.00,99.93
4043.00,99.92
4042.00,99.93
4041.00,99.93
4040.00,99.93
4039.00,99.93
4038.00,99.93
4037.00,99.92
4036.00,99.91
4035.00,99.91
4034.00,99.91
4033.00,99.90
4032.00,99.90
4031.00,99.89
4030.00,99.89
4029.00,99.88
4028.00,99.87
4027.00,99.87
4026.00,99.88
4025.00,99.88
4024.00,99.89
4023.00,99.89
4022.00,99.89
4021.00,99.89
4020.00,99.89
4019.00,99.89
4018.00,99.89
4017.00,99.88
4016.00,99.88
4015.00,99.87
4014.00,99.87
4013.00,99.87
4012.00,99.87
4011.00,99.87
4010.00,99.87
4009.00,99.87
4008.00,99.87
4007.00,99.87
4006.00,99.87
4005.00,99.87
4004.00,99.86
4003.00,99.86
4002.00,99.86
4001.00,99.86
4000.00,99.86
3999.00,99.86
3998.00,99.86
3997.00,99.87
3996.00,99.87
3995.00,99.87
3994.00,99.87
3993.00,99.87
3992.00,99.87
3991.00,99.86
3990.00,99.86
3989.00,99.86
3988.00,99.87
3987.00,99.87
3986.00,99.88
3985.00,99.88
3984.00,99.88
3983.00,99.88
3982.00,99.87
3981.00,99.87
3980.00,99.87
3979.00,99.88
3978.00,99.88
3977.00,99.88
3976.00,99.88
3975.00,99.88
3974.00,99.88
3973.00,99.88
3972.00,99.88
3971.00,99.88
3970.00,99.87
3969.00,99.87
3968.00,99.88
3967.00,99.88
3966.00,99.89
3965.00,99.89
3964.00,99.89
3963.00,99.89
3962.00,99.89
3961.00,99.89
3960.00,99.89
3959.00,99.89
3958.00,99.89
3957.00,99.89
3956.00,99.89
3955.00,99.89
3954.00,99.89
3953.00,99.89
3952.00,99.89
3951.00,99.88
3950.00,99.88
3949.00,99.89
3948.00,99.89
3947.00,99.89
3946.00,99.90
3945.00,99.90
3944.00,99.91
3943.00,99.92
3942.00,99.93
3941.00,99.93
3940.00,99.92
3939.00,99.91
3938.00,99.91
3937.00,99.90
3936.00,99.90
3935.00,99.90
3934.00,99.90
3933.00,99.91
3932.00,99.91
3931.00,99.91
3930.00,99.92
3929.00,99.92
3928.00,99.92
3927.00,99.92
3926.00,99.92
3925.00,99.93
3924.00,99.94
3923.00,99.95
3922.00,99.95
3921.00,99.95
3920.00,99.94
3919.00,99.94
3918.00,99.95
3917.00,99.95
3916.00,99.96
3915.00,99.96
3914.00,99.95
3913.00,99.95
3912.00,99.94
3911.00,99.94
3910.00,99.94
3909.00,99.94
3908.00,99.94
3907.00,99.94
3906.00,99.94
3905.00,99.95
3904.00,99.96
3903.00,99.97
3902.00,99.97
3901.00,99.97
3900.00,99.97
3899.00,99.97
3898.00,99.97
3897.00,99.97
3896.00,99.97
3895.00,99.97
3894.00,99.97
3893.00,99.97
3892.00,99.97
3891.00,99.98
3890.00,99.98
3889.00,99.98
3888.00,99.97
3887.00,99.96
3886.00,99.97
3885.00,99.98
3884.00,99.98
3883.00,99.98
3882.00,99.98
3881.00,99.98
3880.00,99.99
3879.00,99.99
3878.00,99.99
3877.00,99.98
3876.00,99.98
3875.00,99.97
3874.00,99.97
3873.00,99.97
3872.00,99.97
3871.00,99.97
3870.00,99.98
3869.00,99.99
3868.00,99.98
3867.00,99.97
3866.00,99.96
3865.00,99.96
3864.00,99.96
3863.00,99.97
3862.00,99.97
3861.00,99.98
3860.00,99.98
3859.00,99.99
3858.00,99.99
3857.00,100.00
3856.00,100.00
3855.00,99.99
3854.00,99.99
3853.00,99.99
3852.00,99.99
3851.00,99.98
3850.00,99.97
3849.00,99.97
3848.00,99.98
3847.00,99.99
3846.00,99.99
3845.00,99.99
3844.00,99.99
3843.00,99.99
3842.00,99.99
3841.00,99.99
3840.00,99.99
3839.00,99.99
3838.00,99.99
3837.00,99.99
3836.00,99.99
3835.00,99.98
3834.00,99.98
3833.00,99.97
3832.00,99.97
3831.00,99.98
3830.00,99.98
3829.00,99.97
3828.00,99.97
3827.00,99.97
3826.00,99.98
3825.00,99.98
3824.00,99.98
3823.00,99.96
3822.00,99.96
3821.00,99.97
3820.00,99.97
3819.00,99.97
3818.00,99.96
3817.00,99.96
3816.00,99.96
3815.00,99.96
3814.00,99.96
3813.00,99.96
3812.00,99.96
3811.00,99.96
3810.00,99.96
3809.00,99.95
3808.00,99.95
3807.00,99.95
3806.00,99.96
3805.00,99.96
3804.00,99.95
3803.00,99.94
3802.00,99.94
3801.00,99.95
3800.00,99.95
3799.00,99.94
3798.00,99.93
3797.00,99.93
3796.00,99.94
3795.00,99.94
3794.00,99.94
3793.00,99.94
3792.00,99.94
3791.00,99.94
3790.00,99.93
3789.00,99.92
3788.00,99.92
3787.00,99.92
3786.00,99.92
3785.00,99.92
3784.00,99.92
3783.00,99.92
3782.00,99.92
3781.00,99.91
3780.00,99.91
3779.00,99.91
3778.00,99.91
3777.00,99.91
3776.00,99.91
3775.00,99.91
3774.00,99.91
3773.00,99.91
3772.00,99.91
3771.00,99.90
3770.00,99.90
3769.00,99.90
3768.00,99.89
3767.00,99.88
3766.00,99.88
3765.00,99.88
3764.00,99.89
3763.00,99.89
3762.00,99.89
3761.00,99.89
3760.00,99.89
3759.00,99.89
3758.00,99.89
3757.00,99.88
3756.00,99.88
3755.00,99.87
3754.00,99.87
3753.00,99.86
3752.00,99.86
3751.00,99.86
3750.00,99.86
3749.00,99.87
3748.00,99.87
3747.00,99.86
3746.00,99.84
3745.00,99.84
3744.00,99.84
3743.00,99.83
3742.00,99.82
3741.00,99.81
3740.00,99.80
3739.00,99.80
3738.00,99.79
3737.00,99.79
3736.00,99.78
3735.00,99.78
3734.00,99.78
3733.00,99.77
3732.00,99.77
3731.00,99.76
3730.00,99.75
3729.00,99.75
3728.00,99.74
3727.00,99.74
3726.00,99.75
3725.00,99.76
3724.00,99.76
3723.00,99.76
3722.00,99.75
3721.00,99.73
3720.00,99.72
3719.00,99.71
3718.00,99.70
3717.00,99.70
3716.00,99.69
3715.00,99.68
3714.00,99.66
3713.00,99.65
3712.00,99.64
3711.00,99.63
3710.00,99.62
3709.00,99.60
3708.00,99.59
3707.00,99.58
3706.00,99.57
3705.00,99.56
3704.00,99.56
3703.00,99.55
3702.00,99.53
3701.00,99.52
3700.00,99.50
3699.00,99.48
3698.00,99.45
3697.00,99.43
3696.00,99.41
3695.00,99.40
3694.00,99.38
3693.00,99.37
3692.00,99.35
3691.00,99.32
3690.00,99.29
3689.00,99.25
3688.00,99.22
3687.00,99.19
3686.00,99.16
3685.00,99.14
3684.00,99.12
3683.00,99.10
3682.00,99.07
3681.00,99.05
3680.00,99.01
3679.00,98.98
3678.00,98.93
3677.00,98.88
3676.00,98.83
3675.00,98.80
3674.00,98.77
3673.00,98.73
3672.00,98.67
3671.00,98.62
3670.00,98.56
3669.00,98.50
3668.00,98.45
3667.00,98.39
3666.00,98.34
3665.00,98.28
3664.00,98.23
3663.00,98.17
3662.00,98.11
3661.00,98.06
3660.00,98.00
3659.00,97.94
3658.00,97.86
3657.00,97.78
3656.00,97.71
3655.00,97.64
3654.00,97.57
3653.00,97.49
3652.00,97.41
3651.00,97.32
3650.00,97.22
3649.00,97.11
3648.00,97.02
3647.00,96.93
3646.00,96.84
3645.00,96.76
3644.00,96.68
3643.00,96.59
3642.00,96.50
3641.00,96.40
3640.00,96.31
3639.00,96.21
3638.00,96.11
3637.00,96.01
3636.00,95.90
3635.00,95.80
3634.00,95.70
3633.00,95.61
3632.00,95.51
3631.00,95.40
3630.00,95.27
3629.00,95.14
3628.00,95.02
3627.00,94.90
3626.00,94.79
3625.00,94.69
3624.00,94.59
3623.00,94.48
3622.00,94.37
3621.00,94.25
3620.00,94.13
3619.00,94.00
3618.00,93.87
3617.00,93.74
3616.00,93.61
3615.00,93.48
3614.00,93.36
3613.00,93.23
3612.00,93.11
3611.00,92.98
3610.00,92.83
3609.00,92.69
3608.00,92.54
3607.00,92.40
3606.00,92.26
3605.00,92.12
3604.00,91.98
3603.00,91.83
3602.00,91.69
3601.00,91.54
3600.00,91.40
3599.00,91.25
3598.00,91.11
3597.00,90.96
3596.00,90.80
3595.00,90.64
3594.00,90.48
3593.00,90.33
3592.00,90.19
3591.00,90.04
3590.00,89.88
3589.00,89.71
3588.00,89.54
3587.00,89.36
3586.00,89.19
3585.00,89.02
3584.00,88.86
3583.00,88.69
3582.00,88.52
3581.00,88.35
3580.00,88.19
3579.00,88.02
3578.00,87.84
3577.00,87.67
3576.00,87.49
3575.00,87.32
3574.00,87.14
3573.00,86.97
3572.00,86.81
3571.00,86.65
3570.00,86.49
3569.00,86.31
3568.00,86.11
3567.00,85.90
3566.00,85.70
3565.00,85.50
3564.00,85.31
3563.00,85.12
3562.00,84.94
3561.00,84.75
3560.00,84.57
3559.00,84.38
3558.00,84.20
3557.00,84.02
3556.00,83.83
3555.00,83.64
3554.00,83.45
3553.00,83.25
3552.00,83.05
3551.00,82.87
3550.00,82.68
3549.00,82.50
3548.00,82.31
3547.00,82.11
3546.00,81.91
3545.00,81.71
3544.00,81.51
3543.00,81.31
3542.00,81.12
3541.00,80.93
3540.00,80.73
3539.00,80.54
3538.00,80.34
3537.00,80.14
3536.00,79.94
3535.00,79.75
3534.00,79.56
3533.00,79.37
3532.00,79.18
3531.00,78.98
3530.00,78.79
3529.00,78.60
3528.00,78.41
3527.00,78.21
3526.00,78.01
3525.00,77.81
3524.00,77.61
3523.00,77.41
3522.00,77.22
3521.00,77.03
3520.00,76.84
3519.00,76.65
3518.00,76.45
3517.00,76.25
3516.00,76.06
3515.00,75.86
3514.00,75.67
3513.00,75.48
3512.00,75.28
3511.00,75.09
3510.00,74.90
3509.00,74.70
3508.00,74.51
3507.00,74.32
3506.00,74.12
3505.00,73.93
3504.00,73.73
3503.00,73.54
3502.00,73.35
3501.00,73.16
3500.00,72.97
3499.00,72.78
3498.00,72.60
3497.00,72.41
3496.00,72.22
3495.00,72.03
3494.00,71.84
3493.00,71.65
3492.00,71.46
3491.00,71.28
3490.00,71.09
3489.00,70.91
3488.00,70.72
3487.00,70.54
3486.00,70.35
3485.00,70.17
3484.00,69.98
3483.00,69.79
3482.00,69.61
3481.00,69.42
3480.00,69.24
3479.00,69.07
3478.00,68.90
3477.00,68.72
3476.00,68.54
3475.00,68.36
3474.00,68.18
3473.00,67.99
3472.00,67.81
3471.00,67.62
3470.00,67.44
3469.00,67.26
3468.00,67.09
3467.00,66.91
3466.00,66.75
3465.00,66.58
3464.00,66.41
3463.00,66.23
3462.00,66.06
3461.00,65.88
3460.00,65.71
3459.00,65.54
3458.00,65.36
3457.00,65.20
3456.00,65.03
3455.00,64.87
3454.00,64.70
3453.00,64.54
3452.00,64.37
3451.00,64.20
3450.00,64.04
3449.00,63.87
3448.00,63.70
3447.00,63.54
3446.00,63.37
3445.00,63.20
3444.00,63.03
3443.00,62.87
3442.00,62.71
3441.00,62.55
3440.00,62.39
3439.00,62.23
3438.00,62.07
3437.00,61.91
3436.00,61.75
3435.00,61.60
3434.00,61.45
3433.00,61.29
3432.00,61.14
3431.00,60.99
3430.00,60.83
3429.00,60.68
3428.00,60.53
3427.00,60.38
3426.00,60.23
3425.00,60.09
