TwoTheta,Counts,Starch
65.002,854,Tapioca
64.981,846,Tapioca
64.96,844,Tapioca
64.939,824,Tapioca
64.917,892,Tapioca
64.896,849,Tapioca
64.875,812,Tapioca
64.854,855,Tapioca
64.833,835,Tapioca
64.812,841,Tapioca
64.791,833,Tapioca
64.769,842,Tapioca
64.748,892,Tapioca
64.727,884,Tapioca
64.706,811,Tapioca
64.685,860,Tapioca
64.664,925,Tapioca
64.643,817,Tapioca
64.621,821,Tapioca
64.6,826,Tapioca
64.579,816,Tapioca
64.558,882,Tapioca
64.537,823,Tapioca
64.516,830,Tapioca
64.495,875,Tapioca
64.473,864,Tapioca
64.452,765,Tapioca
64.431,873,Tapioca
64.41,800,Tapioca
64.389,853,Tapioca
64.368,843,Tapioca
64.347,816,Tapioca
64.325,806,Tapioca
64.304,865,Tapioca
64.283,862,Tapioca
64.262,866,Tapioca
64.241,853,Tapioca
64.22,868,Tapioca
64.199,859,Tapioca
64.177,880,Tapioca
64.156,838,Tapioca
64.135,839,Tapioca
64.114,828,Tapioca
64.093,847,Tapioca
64.072,831,Tapioca
64.051,795,Tapioca
64.029,825,Tapioca
64.008,850,Tapioca
63.987,810,Tapioca
63.966,894,Tapioca
63.945,831,Tapioca
63.924,846,Tapioca
63.903,859,Tapioca
63.881,816,Tapioca
63.86,892,Tapioca
63.839,833,Tapioca
63.818,864,Tapioca
63.797,863,Tapioca
63.776,829,Tapioca
63.755,837,Tapioca
63.733,819,Tapioca
63.712,908,Tapioca
63.691,831,Tapioca
63.67,803,Tapioca
63.649,897,Tapioca
63.628,889,Tapioca
63.607,787,Tapioca
63.585,844,Tapioca
63.564,880,Tapioca
63.543,830,Tapioca
63.522,857,Tapioca
63.501,844,Tapioca
63.48,873,Tapioca
63.459,823,Tapioca
63.437,812,Tapioca
63.416,877,Tapioca
63.395,905,Tapioca
63.374,817,Tapioca
63.353,859,Tapioca
63.332,841,Tapioca
63.311,840,Tapioca
63.289,857,Tapioca
63.268,854,Tapioca
63.247,882,Tapioca
63.226,843,Tapioca
63.205,868,Tapioca
63.184,821,Tapioca
63.163,816,Tapioca
63.141,866,Tapioca
63.12,806,Tapioca
63.099,885,Tapioca
63.078,866,Tapioca
63.057,793,Tapioca
63.036,760,Tapioca
63.015,853,Tapioca
62.993,877,Tapioca
62.972,907,Tapioca
62.951,852,Tapioca
62.93,812,Tapioca
62.909,832,Tapioca
62.888,841,Tapioca
62.867,890,Tapioca
62.845,847,Tapioca
62.824,813,Tapioca
62.803,827,Tapioca
62.782,801,Tapioca
62.761,817,Tapioca
62.74,846,Tapioca
62.719,881,Tapioca
